review_time_ago,review_text,review_rating,review_year
2 years ago,"The kids really enjoyed ice skating and had so much fun!

To give a little bit of review though, maybe because it recently opened, I mean it was closed because of pandemic, so people are flocking and eager to ice skate that caused long lines at the counter. We queued for 30 minutes at around 1PM, the afternoon pass already sold out and what was available is only the 5:15PM 2-hour skate.

Despite being crowded it was still a fun, accident free afternoon.

Btw, you can bring food inside. The only snack you can buy from is Potato Corner fries which took 40 mins to be served. If you have a companion they can buy from outside restaurants.",4 stars,2022
5 months ago,"Rude, impatient, inhospitable staff. Went there during opening hours on a weekday, yet overall service and experience was horrible. Skates given are also too worn out.

I also found fresh gum inside the skates after asking for a resize, which does not make sense considering the rink just opened (please check on the employee that gives out the skates -- they also gave out faulty skates)

Whole experience was unbearable!",1 star,2023
4 months ago,Typical ice skating rink. Crowded as to be expected of a rink located in a large shopping mall. They charged me the price of a movie ticket just to go in and watch my 7yo daughter skate. I hate these kind of captive pricing schemes. Should be against the law. I'm trying to keep my 7yo daughter safe. It's not like I'm trying to watch Connor McDavid practice.,3 stars,2023
1 year ago,"The mall of asia ice skating rink is quite spacious. Even though there are alot of people, it is still not too crowded because they do crowd control. You can book a slot every 2 hours or get a ticket for unlimited time the whole day or half day.

They also have a locker which you can pay for a fee. The biggest downside is the smelly helmet and smelly skates. Definitely feels unsanitized and unclean. They should really do something on the cleanliness of the rental items.",3 stars,2023
5 years ago,"For beginners best day to come here every weekdays not weekends. Mostly weekends crowded na!

The sad part here is those practicing figure skating
Some occupy entire space
That might cause complications if you're beginner or just wanna try new.

Hockey game here is ok
Just don't forget to bring jackets if can't withstand coldness.

Enjoy!",3 stars,2019
5 years ago,"Very good experience especially if you're the type to try new things.

It's better to come early as 1 fee (450php) is good for a wholeday access. Plus, the ice rink is smoother since there's not yet many who've used it.
If you have things, you can opt to rent a locker for a day's use -costs 50php.",4 stars,2019
3 months ago,"Rental skates smelled like death. Bring your own if you have them, otherwise bring lots of soap or alcohol to wash your feet after. Nasty",1 star,2024
7 months ago,"SM Skating Rink certainly earns a well-deserved 5 out of 5 stars in my recent experience. The skating rink's commitment to providing a fun and enjoyable experience, along with its well-maintained facilities, make it a standout destination for skating enthusiasts and beginners alike.

The skating rink's spacious layout, smooth ice surface, and modern amenities create an ideal environment for skating. Whether you're a seasoned skater or trying it for the first time, the rink provides a comfortable space to glide and enjoy the ice.

The range of skating sessions, from public sessions to lessons, caters to different skill levels and preferences. The availability of skate rentals and safety precautions ensure that everyone can enjoy the experience.

The skating rink's location within the expansive mall complex adds to its convenience and accessibility. The friendly and attentive staff members contribute to a positive and enjoyable visit.

In summary, SM Skating Rink is a must-visit destination for those seeking a fun and memorable skating experience. With its well-maintained facilities, variety of skating options, and commitment to customer satisfaction, it earns a full five stars as a top-notch skating venue.",5 stars,2023
1 year ago,Best for Kids and kids at heart not only this season but all year round,5 stars,2023
1 year ago,I enjoyed my 1st time experience in ice skating here. I just hope they change the caps/helmet because some of it are stinky.,4 stars,2023
1 year ago,"It's fun to be here. Plus you get to watch some talented people performing such wonderful ice skating dances there (though they're not performers there, only civilian people too who just wanted to play too)",5 stars,2023
7 months ago,"An employee at the return and claim counter was very rude. He was talking about the lady who exchanged the size of her skates as soon as she left the counter, he said that she was not listening and hard-headed because he already told her about how to pick the size of skates while making faces, while I was standing in front of him, exchanging mine because the first ones felt uncomfortable.

The skates that they replaced were very old and smelly. The pads were broken and the laces were not matching, the experience was unenjoyable and painful. We left after 30 mins because the skates sucked. What a waste of time and money.",1 star,2023
6 years ago,Expensive. If you will avail locker your going to pay 100 pesos. They still use the old skating shoes yet they also have new one. Color white. Their time is advance than our watch 10mins. Which is annoying.,3 stars,2018
8 months ago,Took my family ice skating here. The facility looked nice but the rental skates were not sharpened and had no edges. My sons and I play hockey and we’re hoping to practice some edge work during open skate and we’re unable to get any meaningful ice time. If you regularly skate bring your own skates.,2 stars,2023
5 years ago,"Full-sized rink with a manageable volume of people for one to speed up. Not many of the visitors are stable on the skates so you need to keep an eye out.

400 PHP for a single adult, or 600 for two. Add another 50 PHP for a locker to stow away your belongings whilst on the ice. You're allowed to determine your shoe size before borrowing a pair of skates through a set of foot castings.

The above prices are only for figure skates, which have those horrible spikes at the front. Not until we were inside did we found out that the hockey skates were an additional 400 PHP per head.",3 stars,2019
2 months ago,"The place and ambience is soooooo cool and great for bonding with friends, family and the like",5 stars,2024
2 years ago,"This was my second time ice skating and I've been to Megamall's previously. I was under the impression that the shoes/skates were changed to new ones but I guess not. I also thought that MOA has their rink outside the mall with a different building, but it was on the main building (I guess) and the space for skating was quite okay. During our visit, a lot of people were there, so there's a 'traffic jam' on the locker area as well as the space outside the rink. It was too small for a lot of people (especially during the times were in the time slots/break thingies occur). Staffs were accommodating and were approachable. Overall, pretty good experience!",4 stars,2022
10 months ago,"The whole experience was great, the place and the process before you enter the ice field/arena was goods.",5 stars,2023
7 months ago,"Ice skating rink is super unsafe. Staff ignores you when you ask for help and do not even bother to look at you when talking. The skates were broken and the shoelaces were falling apart. Furthermore, the ice skating rink was full too capacity and yet the staff kept letting people enter. The worst, however, would be the staff; their rudeness and ignorance ruins your day.",1 star,2023
2 years ago,We enjoyed our time and having free lockers were very convenient. There's also a place where you can measure your foot size for the skates.,5 stars,2022
8 months ago,Awesome 😎 and fun for all ages …,5 stars,2023
7 months ago,Great experience. Make sure to rent the polar bear. 😁 …,5 stars,2023
1 year ago,"The ticket price is worth the price. They have a locker wherein you can keep your things as you skate. Since there is only one entrance to the rink, you’ll have to wait for those who are ahead of you to go inside before you can go in (if you can’t skate, because you’ll be needing a support, but if you can skate on your own, you can immediately go inside the rink and enjoy skating). My friend took a lot of time before she was able to get in since she doesn’t know how to skate.

For those who doesn’t know how to skate, get a polar bear 🐻‍❄️ So you can enjoy more!",5 stars,2023
5 months ago,memorable experience!,5 stars,2023
5 years ago,I was very impressed with the rink. It is quite a large rink and the ice is very smooth. Unlimited entry pass is priced at PHP390 and companion pass at PHP100. The rink was rather empty when we were there as it was 11am on a weekday. The rink is in a huge mall with many restaurants and departmental stores.,4 stars,2019
5 years ago,"My fiancé and I had a great time on the ice, but if there is one bad experience I had it would be the 'meh' attitude from the ice skate staff, I specifically asked for hockey type skates and the staff was adamant they didn't have anything like that. So, fine I put on the male figure ice skates which were absolutely uncomfortable. Since I already paid the entrance fee, why not right?

An hour later when I returned these I saw others with hockey skates and I asked the staff about them, the guy simply walked away! The heck kind of service is this?",3 stars,2019
11 months ago,"It was fun experience but the service and the rental shoes sucks, I chose size 8 that fits my feet and they gave me a shoe, yet when I wanted to replace it since the lace is severely damaged I asked for a size 7, yet they told me ""its a size 7"" when I originally said I wanted an 8, so instead I told them ""okay, just give me another pair THAT IS NOT DAMAGED"" then they gave me a not that good but bearable. it was my first time. and not planning going back",2 stars,2023
7 months ago,"Wasting time to go there but they don't have enough shoes.
And the worst part is, they don't feel sorry at all. Service sucks. Hopefully meron 0 star or munus on Google",1 star,2023
1 year ago,It’s great fun for children and adventurous adults . Follow the procedure to sign up specify what extras you want . Having visited many times you need to be aware that the provided boots are now getting worn considerably and this time an open safety pin was found in one of them giving a slight injury . It’s time they considered a new boot purchase and would it harm staff to check out the boots and other equipment?,3 stars,2023
4 months ago,Great experience,5 stars,2023
4 years ago,"Best place to relieve stress! Most of the staff are also very friendly, the service is excellent! Just be sure to be friendly first. ✨",5 stars,2020
1 year ago,"Honest opinion only so this will be helpful for everyone.

The skating rink was one of the best ones here in the Philippines.

Easy entrance process,
Helpful staff

Large space.

The thing is, the skates are very very worn out.

So don't expect good fitting shoes.
Even though you measured

Otherwise, everything was organized",4 stars,2023
1 year ago,"its honestly amazing, either way its crowded but it’s a fun experience i recommend you to go here, and i am going here again today right now while im doing this review, hopefully theres some space or spots available for me and my sister. but anyways the experience is ok, the staff is friendly i guess ? long lines indeed but when the first time i did it, it wasn’t really long, but i don’t know if it will be more longer than before today. i recommend going here thats all 🫶🏻",4 stars,2023
3 months ago,Can't say much cuz I just passed by this place and checked the rates😅 …,3 stars,2024
1 year ago,My daughter enjoyed it. Price is worhy for the 2 hour session. There us an option to get a coach. Buy if you are friendly enough  you can find someone that is willing to give you tops. Must be reserved for earlier sessions because in the afternoon the line is too long.,5 stars,2023
1 year ago,"Poor, I’m not even sure where to begin. Crowded. VERY crowded. Avoid going any weekend. I’m pretty sure this place is a safety hazard. Broken skates, crowded rink, not friendly for beginners or for experienced skaters (since it’s so crowded). No organization. They allow more people in than they have amenities. Limited lockers, seats, skates, yet they allow 3-4 times their own capacity. They have an eating area but 0 spaces to eat properly.",1 star,2023
9 months ago,"Love the venue. A little bit crowded. That is expected, but some skiers are show offs and sometimes perform tricks that may be dangerous to others",4 stars,2023
1 year ago,Really fun and hillarious time !!!,5 stars,2023
11 months ago,"The Ambience was great, my family really had a great time. We would come back again to create more beautiful memories!",5 stars,2023
1 year ago,"Make sure to tighten your skate shoe as it can really hurt your feet/toes.

BUY RIGHT AWAY THE POLAR BEAR IG YOU DONT HAVE AN IDEA HOW TO SKATE, WE REGRET NOT BUYING IT RIGHT AWAY

Bring anti bacterial wipes as the shoes did not smell great

Its not cold inside

GOOD SOCKS!!!!

Enjoy :)",5 stars,2023
1 year ago,"Definitely experienced the definition of excitement, happiness and pain in struggling in skating. I just wanted the polar bear to be available for the rest of the 2-hour pass. But they took it for an hour😭 I understand they have few of them and had to let others use them too but man🤧 I DIDN'T KNOW HOW TO SKATE. It was a great experience afterall.",4 stars,2023
1 year ago,Place is great. Enjoyed skating there.,5 stars,2023
10 months ago,"We are over all satisfied and with all those encounters we had with their staff, it's great. From the ticket buying, to the guard at the entrance, ice skates keeper and locker custodian.",5 stars,2023
1 year ago,"Its much smaller than what it is before.
I think SM is now being practical in allocating spaces for such activities as there are now alot to choose from.

A bit crowded at times

Never tried it though, even the with the old set up. Not really a fan, but raiting it based on how I see it. Maybe for some its a good experience.",3 stars,2023
1 year ago,"Now that the pandemic is getting back to normal life the malls and restaurants are opening. This goes double for the mall of Asia. I am pretty good with knowing how the mall is layed out, but now that the pandemic is sort of. Lifeting they are completely redoing the mall. It was a completely different place. I had a hard time. Finding my way around now. People really looked like they were having fun and it's definitely a great place to hang out and enjoy the low temperatures and great people watching.",4 stars,2023
5 years ago,It is so much fun here. Great to hang with friends especially with family or loved ones. Kudos!,5 stars,2019
1 year ago,"The staff in the claim and return of ice skating shoes was impolite and rude. I came back and nicely asked for exchange because the lace of shoes he gave me was broken. He did exchange but he almost threw it to me and my hand was hit by the blade. What if he does it to children?

*He was rude even the first time we claim our shoes.

Incident happened July15 at 2:20pm.",1 star,2023
4 years ago,Not so bad experience with a first timer lol. Staff are accommodating. They are even playing with the kids lol,5 stars,2020
10 months ago,Very nice and clean,5 stars,2023
1 year ago,Skates were beat to hell. You had to pay for storage locker when I think it should be included. It's in the MALL! Of course you need a storage locker for the stuff you are carrying and you keys so you don't fall on them and get injured,3 stars,2023
2 years ago,"Good experience, it's best during weekdays for less crowd",4 stars,2022
4 years ago,"Pros:
>Spacious skating rink.
>Clean restroom.
>Staff are accommodating.

Cons:
>It's an expensive hobby.",4 stars,2020
6 months ago,Fabulous... great experience and a lot of fun! Highly recommend!,5 stars,2023
2 months ago,didn't know it would be that good,5 stars,2024
4 years ago,Its a perfect place to cool up inside the sm ice skating,5 stars,2020
4 years ago,"The rink is larger now, but the equipment was still poorly maintained and checked. The skates I had were dull, and the next pair I had were bent!",4 stars,2020
11 months ago,Too many people. Plan 2 hours ahead if you wish to enjoy the ice skating activity,2 stars,2023
1 year ago,"I did not enjoy the ice skating here in SM MOA to say the least.  The ice skates are so dull and old that you can just barely move.  The skating rink is unsafe since there’s no flow for the skaters to follow unlike other skating rinks.  With everyone moving in any direction, surface of the ice has so many criss crossing scratches which don’t get fixed even after resurfacing.  This makes it more difficult to skate.",1 star,2023
10 months ago,Very nice place. Service is good and there are lots of food and drinks options.,5 stars,2023
7 months ago,Even if you have no experience in ice skating you can request for s polar bear (additional charge) for support while doing skating.,5 stars,2023
11 months ago,"Wonderful exprience. Not too late to try even when you're over 40.
Great bonding with the kiddos.",5 stars,2023
6 months ago,First time with the kids and prepare for a lot of happiness and muscle pain later😃 …,5 stars,2023
1 year ago,I didn't even had the chance to skate and it's already full capacity😔 and it's their last for the day so I have to return tomorrow eh taga probinsya ako👺👺 so that's the rant bye …,1 star,2023
2 months ago,WoW,4 stars,2024
4 years ago,"Great value. It is better to go earlier in the day to get the most from the daily pass.  You will avoid the crowds and since the ice is not regularly Zambonied, it is also in best condition early.",4 stars,2020
5 years ago,Rink is nice and as expected. The employees aren't too attentive though. Employee at the front desk was busy having a conversation with a co-worker and had her back turned when we arrived. You think they'd stop to take our money but kept conversating until I verbally interrupted them. The employee working the skate pick up area seemed to only communicate through pointing and nodding. I asked him a question and he pointed without even looking up from his phone.,3 stars,2019
5 years ago,"The ice is not bad.  However, each person has only a Limited amount of time to skate (I think an hour) compared to the MEGAMALL rink. Regardless if you are skating or just going to watch from the inside, you still have to pay just to get in. The skates are dull and never maintained. Front desk staff always busy having a conversation with a co-worker not minding customers.",1 star,2019
4 years ago,"The skates aren't up to the same standards as in Europe and NA, and they're not hockey skates. But the ice is okay and the price is ok. About 400 php for a day pass.  You need to pay for a locker to store you bag. It's pretty fun if you're here when things aren't too crowded.",3 stars,2020
1 year ago,Very nice! I just wish their skating boots were comfortable I had sore feet after skating which don't really happen.,5 stars,2023
4 years ago,Coach Ace is very good even thought it uis crowded.,5 stars,2020
5 years ago,"It's fun for families.  Just be aware, entrance is not the only thing you pay for. Even just for someone else to come in and accompany you is another payment also Payment to rent guide pusher, which you will need if you don't know how to skate.",4 stars,2019
1 year ago,The ice skating rink is a good place for bonding. They have a huge rink and 12 years old vaccinated children and up are allowed,5 stars,2023
11 months ago,had my first ice skating experience here.. so much fun,5 stars,2023
4 years ago,"Pros:
You get to ice skate in the tropics.
Decent size ice rink.

Cons:
You pay just to go inside the seating area in addition to the skates rental.
Ice rink possibly gets resurfaced only once a day?
Skate blades are so dull and poorly maintained that the first skates were badly bent yet it's still being rented out.

You'd be better off bringing your own skates if you have one. But then there's that beat up ice surface you'll have to deal with.",2 stars,2020
1 year ago,"Olympic size skating rink,my only worries is nobody's watching for beginners,many minor accident happen ,i hope they also change the skating shoes to a better one👍🏻😊🥰 …",4 stars,2023
5 years ago,"We came here(MOA) to try out ice skating in the Philippines. According to my daughter, the rental skates are big and heavy and the blades are dull. The alternative is to rent hockey skates for an hour at over 400 pesos. My son said the blades on the hockey skates, an old pair of Bauer Vapors, are also dull.  Admission is about 500 pesos for a full day. That means you can skate for a while, then take off and come back later to skate. The rink closes when the mall closes.
We did not see any facility for sharpening skates.
There was a hockey practice at 8:30pm but weren’t allowed to watch it.
We asked if there’s a Zamboni and were told that there is one. We never saw it though. The ice rink is currently located on the third floor of MOA. I think it was originally on the ground floor. So I doubt that the ice is resurfaced at all.

The kids had fun despite the condition of the equipment.

Five stars for a nice place to escape the heat and humidity.
Subtracted three stars (one per kid) for not allowing the kids to form a train. 😝",2 stars,2019
1 year ago,The place is nice and the people there are very kind. A good place to try and practice skating on ice. Shoe rentals and locker are available as well.,4 stars,2023
8 years ago,Completely unreasoned entrance to the court and there is a constant hustle. Rental skates are all old and blunt. Preparation of ice and filling it happens irregularly and therefore the quality of the ice rink is poor. A week ago an ice rink was like a big puddle and after an hour of riding I was completely drenched.,3 stars,2016
1 year ago,"The ice is not cleaned, ski shoes are bad and broken, seems that they’ve never been changed",1 star,2023
2 years ago,Enjoyed our time there,5 stars,2022
4 years ago,"The ice quality is passable.
Unfortunstely the rink rules are not enforced and the experienced skaters have to focus on not to collide with counter flowing and/or criss crossing walk ins who have little or no skating experience.",4 stars,2020
7 months ago,The employee in the shoe section was plain rude and unaccommodating.,2 stars,2023
5 years ago,Very few people in the morning BUT becareful the counter may not open at 10AM!! Casher is not at desk... finally opened 20mn larer today Mar 9th.,4 stars,2019
2 years ago,It was a fun experience and I added the photos for more information since I failed to check that there are scheduled hours to skate ☺️ they don't follow the mall hours.,5 stars,2022
1 year ago,"Too early to be closed. They need to extend their open time. A lot of people, including myself, were not able to ice skate. Bit disappointed.",2 stars,2023
11 months ago,This place was awesome to visit. I want to revisit again,5 stars,2023
4 years ago,Every Christmas Vacation me and my cousin go here to celebrate/enjoy Christmas It's fun to learn skating and sometimes we get to see some professional who also skate and and can watch a hockey game if you're lucky,5 stars,2020
4 years ago,"The facilities need serious updating/renovating, and their supplies for ice skates need to be thrown out and new ones bought. Those skates are awful. Otherwise, the place is fine.",3 stars,2020
1 year ago,"Crowded during the weekend.
Enjoyable place for everyone.
bring your own jacket 🧥 …",5 stars,2023
11 months ago,It's a great place to bond with your families and friends ^^,5 stars,2023
4 years ago,My son and my daugther love this ice skating very much!,5 stars,2020
4 months ago,😊 …,5 stars,2023
1 year ago,Very nice skating rink though it gets too crowded with the amount of people visiting it though it's still worth the visit,5 stars,2023
1 year ago,I had a really fun day in skating rink in moa when i got there staff's are very accomodating and friendly.,5 stars,2023
4 years ago,One of the few ice skating rink on the metro. The place is larger now so it is better. The equipment is a bit old now but still ok. Affordable and you can get assistance.,3 stars,2020
2 years ago,"Wasn't able to experience the skating because of the very long line , it's crowded right now too. Since the city is in level 1.",1 star,2022
1 year ago,nice place..,4 stars,2023
6 years ago,"Kids have a great time.

Even newbies should not be afraid to try.

Wearing appropriate clothes can help a lot.",5 stars,2018
1 year ago,I love skating rink here its  super spacious and clean,5 stars,2023
4 years ago,Its a good think they placed automatic massage chairs for parents who want to relax while waiting for their children,4 stars,2020
6 years ago,"If your shoe size is bigger than 10, don't even bother.
My brother asked for a 13 and they didn't have skates for him. How disappointing. JUST A SUGGESTION, ALL SIZES SHOULD BE AVAILABLE or (at least a few pairs of the bigger sizes).",1 star,2018
1 year ago,Very very old skates and smelly helmet. Unfriendly staff.,3 stars,2023
1 year ago,"Theu just passby, happy to see people enjoying and having fun at the ring",5 stars,2023
1 year ago,"I was literally skating on butter knives,they don't sharpen the blades of their skates.",3 stars,2023
4 years ago,first time skating cold....,5 stars,2020
3 years ago,"Still closed, but I loved skating here pre lock down. An hour of skating is 400 calories easy",5 stars,2021
7 years ago,"It is the coolest place in town. Enjoy ice skating, an alternative way to exercise in a cool environment. It is my passion, it could be yours too.",5 stars,2017
2 years ago,nice place but too crowded especially the alert level gone down to 1,5 stars,2022
1 year ago,Very nice.lot of amazing inside SM MOA. Lot of improvement and huge of,5 stars,2023
1 year ago,Rink ice was really smooth during my visit.,5 stars,2023
1 year ago,"time check 12:50
out",1 star,2023
1 year ago,Brilliant but please take care of the helmet and shoes smell very bad,4 stars,2023
1 year ago,Too crowded.. but yep you get what you came for - ice skiing.,4 stars,2023
11 months ago,Great place to bond and have fun!,5 stars,2023
1 year ago,Such a nice place for those who love to ice skate,5 stars,2023
5 years ago,"Decent rink. Skates are not so great, and it was crowded the entire time. Lots of newbies zooming around in all directions.",3 stars,2019
2 years ago,May time limit na ung skating experience plus super duper crowded.,2 stars,2022
9 years ago,"When I was a 8 years old, I didn't know how. Now for the Present and I'm 10 years old, I know how. But I want to learn in a gracefully once :-)",5 stars,2015
1 year ago,It's a little crowded during our visit.,3 stars,2023
8 months ago,Makes my daughter happy always,5 stars,2023
1 year ago,i love the place eventhough i'm not a skater.,5 stars,2023
11 months ago,Great place to spend with the family!,5 stars,2023
1 year ago,"Enjoyable and a nice experience, especially with friends.",4 stars,2023
3 years ago,Fun place to take the kids while everyone else can shop. Will return,4 stars,2021
1 year ago,I want real snow,5 stars,2023
2 years ago,Nice and great experience at MOA Ice skating rink 😊 …,5 stars,2022
3 years ago,Very nice place its good for relaxing if you are stressed,5 stars,2021
2 years ago,Very nice place for making a new adventure of your life <3,5 stars,2022
2 years ago,"Still not open, but table tennis and Pana(archery) is already available.",5 stars,2022
2 years ago,It was my first time here. It was life changing.,5 stars,2022
2 years ago,😍 …,5 stars,2022
1 year ago,It was nice and best experience ever,5 stars,2023
2 years ago,"I like ice skating
- is ice skating in moa open?
- 2022 limited time am10 ~pm10 same??",4 stars,2022
3 years ago,It is currently closed better try the archery place. Near the SM MOA foodcourt,3 stars,2021
1 year ago,It’s 7:40 and they’re closed,1 star,2023
2 years ago,Much better if you que in early,3 stars,2022
2 years ago,"Schedule is still a little hectic, reduced capacity is still implemented",3 stars,2022
1 year ago,Nice place to practice your ice skating skills.,5 stars,2023
11 months ago,Stress out,5 stars,2023
5 years ago,Bring Ur kids doing skating it's so fun.,3 stars,2019
2 years ago,Relaxing places,5 stars,2022
1 year ago,Ice... for people that don't see it. I love it!,5 stars,2023
9 months ago,Good value for money.,4 stars,2023
3 years ago,This skating rink is inside SM Southmall near the Food Court and the only skating rink south of Manila.,4 stars,2021
7 years ago,Just please do not sprinkle salt again on the frozen rink ice from the second floor above! You know who you are!,5 stars,2017
3 years ago,Good okace to oractice skating but as of now it is closed.,5 stars,2021
2 years ago,Amazing experience !,5 stars,2022
5 years ago,Feels your ice skating in foreign country as well as nice watching hockey,5 stars,2019
1 year ago,Awesome places in mall of asia.,5 stars,2023
2 years ago,Good price and efficient staff.,5 stars,2022
11 months ago,🥹 soooo muchhh funnn …,5 stars,2023
5 years ago,We never have time to try this but it looks incredibly awesome.,5 stars,2019
4 years ago,Fancy looking place. But bad service and staff,1 star,2020
1 year ago,Super nice to skate.,5 stars,2023
11 months ago,The biggest ice skating in the Philippines.,5 stars,2023
4 years ago,It is small skating rink for locals to learn skating and also practice their skills.,4 stars,2020
1 year ago,5 stars!!! It was fun 🤍 …,5 stars,2023
5 years ago,Visiting in Dec make Christmas even more special,5 stars,2019
4 years ago,Sad to know that there is no Coach always available.,3 stars,2020
2 years ago,Taste of their food lately not in good quality..,2 stars,2022
4 years ago,Fun experience 👍🏼 …,5 stars,2020
4 years ago,nice plays to go....at 3floor sm moa,5 stars,2020
1 year ago,It’s huge and crowded!,4 stars,2023
1 year ago,"I see Michael Christian Martinez at SM Skating, Mall of Asia",5 stars,2023
2 years ago,Need online reservation... Sad 😭 …,1 star,2022
3 years ago,Huge place and good for ice skating,5 stars,2021
1 year ago,Long wait during weekends,3 stars,2023
1 year ago,it's a nice experience,5 stars,2023
5 years ago,Fun skating here!! Will be back for sure,5 stars,2019
3 years ago,This mall section is still close during the pandemic,1 star,2021
11 months ago,Great experience!,5 stars,2023
8 months ago,Nice and fun,5 stars,2023
5 years ago,Hmmm quitely that impressive for the first time..,4 stars,2019
1 year ago,Nice place for ice skating lovers,5 stars,2023
1 year ago,Huge and highly patronised.,5 stars,2023
1 year ago,Average not organised,3 stars,2023
1 year ago,Too many people lol,2 stars,2023
4 years ago,Had so much fun in here...,5 stars,2020
1 year ago,Nice one,5 stars,2023
4 years ago,My kids really have fun,5 stars,2020
11 months ago,Great for recreation,5 stars,2023
4 years ago,"Accommodating, friendly and nice staffs.",3 stars,2020
5 years ago,Good for kids and adults alike,4 stars,2019
4 years ago,Skates are not well maintained/not in good condition.,2 stars,2020
1 year ago,nope! maybe next time,5 stars,2023
4 years ago,"Really fun, to many polar bears",5 stars,2020
1 year ago,All good,4 stars,2023
2 years ago,Open for kids now..hello SM....!!!,5 stars,2022
4 years ago,Horrible experience. Bad service,1 star,2020
3 years ago,"Currently closed. Dec 27, 2020.",5 stars,2021
11 months ago,nice and cool,5 stars,2023
11 months ago,good service,5 stars,2023
4 years ago,Jampacked,4 stars,2020
2 years ago,Love to try someday Ice Skating,5 stars,2022
5 years ago,It's a great experience,5 stars,2019
3 years ago,It's not operational yet,1 star,2021
9 months ago,Fun,5 stars,2023
1 year ago,good dating spot...,5 stars,2023
1 year ago,Still somewhat crowded,4 stars,2023
2 years ago,Nice view,5 stars,2022
4 years ago,It was fun playing there,5 stars,2020
3 years ago,Sadly! The ice rink is closed.,5 stars,2021
1 year ago,Awesome experience.,5 stars,2023
2 years ago,It's awesome 😍😘😘 …,5 stars,2022
1 year ago,Love it,5 stars,2023
10 months ago,Good,5 stars,2023
5 years ago,Coolest place in town.,5 stars,2019
3 years ago,😒 …,1 star,2021
3 years ago,Happy New Year 2021,5 stars,2021
11 months ago,Amazing,4 stars,2023
4 years ago,It's nice,3 stars,2020
3 years ago,Nice cold,5 stars,2021
1 year ago,Best experience,5 stars,2023
5 years ago,Very nice place,4 stars,2019
5 years ago,👍👍👍 …,5 stars,2019
3 years ago,So cold here tho,5 stars,2021
3 years ago,Sm molino,3 stars,2021
4 years ago,My daughter loves it,5 stars,2020
2 years ago,planning on playing here,4 stars,2022
6 years ago,Great playground for skaters,5 stars,2018
4 years ago,I enjoyed the place,4 stars,2020
1 year ago,Great,5 stars,2023
4 years ago,Only one in the Phils.,4 stars,2020
6 years ago,My place.,4 stars,2018
2 years ago,Awesome 🙂 …,4 stars,2022
2 years ago,As of now not in use,5 stars,2022
1 year ago,Gr8,4 stars,2023
5 years ago,Had so much Fun!!,5 stars,2019
1 year ago,Nice,5 stars,2023
1 year ago,Enjoy !!❤️❤️,5 stars,2023
5 years ago,A satisfying experienced.,4 stars,2019
4 years ago,Good but smelly,5 stars,2020
