review_time_ago,review_text,review_rating,review_year
1 year ago,Sm Ice skating is located in upper floor Sm seaside. Many young people come here for play. but it need to line and waiting. Price for 2 hour is 300p. Very nice experience must try!!,5 stars,2023
1 year ago,"It is a must experience, I came in the field without any experience and no training guides, dropped a lot as expected but got a hang of it a little bit after two hours or so.
So far, it was really challenging but super fun, it's a must try.
I would say that I got some leg cramps but that is partly my fault for not paying for the guide training snow bears that are meant for beginners, they were pretty expensive in a whopping 100 peso for rental.
I could say one of the downsides is the somewhat of a lack of maintenance for the Ice skating shoes or whatever they're called, some of them are very dirty and it irritated a bit of my skin allergies.
There's no staff on the field so I'm not sure if there's a lot of safety in mind, probably too sure that all beginners will buy the newbie bears for guidance.
Still a pretty nice experience to have though.
I saw some of the new kids falling over including myself and there's no staff whatsoever to check if they are ok or not and most people wouldn't care and just continue flexing their Skating skills which annoyed me a bit.
The area is also near with Food places so after a long tiring skate you can chill with your family or friends, or with yourself and eat good food.",4 stars,2023
2 months ago,Great experience ice skating in SM Seaside Cebu City.,5 stars,2024
6 months ago,Nice place to spend with family. I enjoyed learning how to iceskate (or icewalk) 😁 with my kids. Core memory for our family ❤️ …,5 stars,2023
4 years ago,"FUN IN ICE.  I always visit this place because my 6- year old loves to skate on ice.  The rink is very spacious. They have plenty of watchers who will constantly ensure that the rules in the place are followed. As long as my daughter loves this, I love this, too.",5 stars,2020
4 years ago,"The reason why I gave 4 stars its because the SM ICE SKATING RINK should include in their Fee - a short Tutorial and Guide/Assistance for FIRST TIMERS. Nevertheless, the service and staff are great. Though there are limited snacks inside though. The SM Ice Skating Rink is a perfect place for your dream Ice Skating experience. They have a 30-minute Ice Resurfacing Schedule at various timelines of the day.",4 stars,2020
5 years ago,"I was a first-timer and preferred not to hire a coach, so the first few rounds were VERY challenging. But the whole experience was fun, except that my feet hurt not because of all the skating but because of the ice skates. I've got no idea why the skates seemed to hurt my feet every time even though I chose the right size.

The place was not very huge and seemed a bit too crowded, maybe because it was on a Saturday. There were loads of children.

At the weekends, you can avail only the Unlimited Skating, no other choices, for PHP420. Make sure to add PHP50 to your budget - for the locker, to make sure your things are in a safe place whilst you skate, for peace of mind. ;)",4 stars,2019
1 year ago,We love to visit here with my family and friends. We enjoy skating to relax and enjoy.,5 stars,2023
3 months ago,I would highly suggest the people should just go on one direction either clockwise or counterclockwise so that people will not clash. That is how it's done in UK so that no one will clash and the professionals can skate round in the middle in the same direction.,2 stars,2024
4 years ago,"It was my first time to try ice skating and it was hard to do in actual rather than just thinking on how to do it. But anyone can get better on it with constant practice and training with the application of basics. The location is a great place to experience actual ice skating. And also a great place and time to bond with family, friends and loved ones.",5 stars,2020
8 months ago,"Fun for all ages. 2 hours or daily passes. Daily passes offer the best value. On fire skates rental, included. Locker, polar bear (to hold on to if you don't know how to skate) and instructors are extra. Food court nearby, benches for those who don't skate and just want to watch.
Good place to burn some energy.",4 stars,2023
4 years ago,"It is a fun filled way to spend time and go active

It is a way to feel you are not in a tropical country anymore  affordable and even has a bear stand or assist for beginners that cant balance yet for 100 pesos

You can also get a skating coach .",5 stars,2020
1 year ago,"It's nice to enjoy , but they need to get new shoe laces for the ice skates other than that I recommend you go before noon otherwise it will be very crowded",5 stars,2023
4 years ago,Had a lot of fuuuun. Me and my friends got to avail 250.00 on a weekday at 7p-9p. Twas really fun.,5 stars,2020
5 years ago,"I was shocked to see NOBODY skating at 7pm, only to find out that their basic rate is 420 pesos for unlimited hours! Their skate shoes are hard, way too hard that my bunions got swollen in just 10mins. But either way, I had fun skating even though their ice was old and frosty and some parts are uneven.",2 stars,2019
8 months ago,Great ice skating. Love it !,5 stars,2023
7 years ago,A whole lot of fun for the kids but they are quite a bit pricier than a movie and they don't appear to have per hour rates. They haven't maintained their stock of available sizes. Quite a number of sizes were unavailable early in the day and they don't sell skates in the shop.,3 stars,2017
1 year ago,"Went to play here last 2019 before COVID and went there again recently, its much better now since its not that crowded as it used to be. The staff are there and alert to watch over any injuries. We didn't have that much fun since we didnt know how to skate and didn't ""rent"" a coach. We just went to try it and overall it was fun. A little pricey though but fun.",4 stars,2023
1 year ago,"Thank you so much to the staff!! I accidentally left my tablet on the comfort room after we went ice skating. They were very kind and helpful to me when I went back to ask if they have it. Thank you so much! You guys were definitely heros especially in terms of my grades since my school documents are in said tab haha. Again, thank you!! Also a massive thank you to the unknown customer who turned over my tab when they found it! You guys are life savers huhu

And the ice skating itself was fun haha thanks. A great place to bond with friends, family, and your date!",5 stars,2023
5 years ago,An international standard ice skating rink.  Good for everyone.,5 stars,2019
3 months ago,Great activity for Kids,5 stars,2024
4 years ago,"The place itself is nice, though I don't think they disinfect the shoes thoroughly after someone has used them as they smell bad. Their largest shoes are only a size 9 or something which were way too small for me (I have size 10.5 feet) so my feet were cramped and got really sore after the session.",3 stars,2020
4 years ago,Cold. And best for kids who have nothing else to do..,4 stars,2020
6 years ago,"Good place to have fun with your kids, they will love it. Only daytickets for 420php, no by hour offers, kids are tired after 1hour! Small lockers which you can open only one time for 50php!!, most disturbing was the really loud music, hardly understood my son when he talked to me, ice quality good.",2 stars,2018
4 years ago,"I love skating. This is the best hobby that I found and I skate for the first time in 2017. The unlimited skating is P420, but pay P500 or P1000 and the locker is only P50, cheaper. But last June, I had an incident, I slided when driving and fighting in polar bears and I am only unlimited, I choose that I wouldn't have a polar bear because it is expensived. In other words, the skating rink has a cleaning time in every skating.",5 stars,2020
5 years ago,"Great place to have fun with your friends. For those first timers I recommend you guys to use the polar bears (which is 100 per hour).
I only give 4 stars because you're not allowed to bring food. If you're hungry u have to buy your food from their snack stall which is kinda expensive",4 stars,2019
7 months ago,Good experience!,5 stars,2023
4 months ago,Good,5 stars,2023
5 years ago,"Very good place for kids and kids at heart. At P450 for unlimited skating, you can skate all you want. They also offer figure skating and ice hockey lessons.

Good thing it’s right across the Foodcourt in case the kids get hungry or thirsty.

This is our go to place whenever we have to wait for other family members to finish shopping or having their nails done. We sit in the bleachers enjoying the antics of the skaters while doing FB, texting or doing puzzles to pass the time. Then it’s time to go home. :)",5 stars,2019
5 years ago,My kids favorite. Go for the unlimited time for a price of 450 pesos it's all worth it. Kids will enjoy more and they will have more time to practice skating and make friends with other skaters there.,4 stars,2019
4 years ago,"At 61 Im a bit old to get on the ice skates but our kids sure had a great time.  It was a fun day watching them learning to ice skate.   The staff was very helpful as they were being sized for skates.

To help they have these Polar Bear stabilizers that the kids push around the rink to help them get their ice legs.   I have never seen those before but it sure helped them stay steady for their first time.

Shout out to the Squid Snack kiosc just across from them.  Squid snacks are amazing,  they the BBQ and Spicey.",5 stars,2020
4 years ago,SM Skating Ring is located in SM Seaside at 3rd Floor in Cyber Zone area. It's really exciting if you are a beginner to use the skating board. There's a staff to teach you how to skate. Whether you are adult or teen there's no matter since this is just an experience for you to play in the ice rink. Spend your holiday time together with your family to watch or to skate in the ice. However if you are tired or wants to relax & feel hungry there's a lot of fastfoods near the skating rink to serve you if you want to eat. Come on & visit the SM Skating & relax together with your family to experiece the thrill of how to skate he!he!he! . GOD Bless & enjoy.,5 stars,2020
4 years ago,"Great location, but skates were quite blunt and needed more sharpening. Was told they are sharpened every 6 months but really should be more often, especially since used so much.",3 stars,2020
7 years ago,"The skating rink is high quality and well maintained. It offers lockers, instructors and even a polar bear shaped skating aid. Will come back often.

Payment ₱380 for unlimited skating",5 stars,2017
7 months ago,"When you're next in line to pay, the staff let's other groups cut in front of you.",1 star,2023
5 years ago,Fun skating rink. Good size with assistance when needed. Prices are quite high with only unlimited skating offered most of the time. Could do with an hourly/session rate.,5 stars,2019
4 years ago,Fun place to learn ice skating in Cebu... in fact the ONLY ice rink in Cebu. They have awesome coaches and good equipment. The only problem is the ice tends to have a lot of bumps (due to water dropping from the ceiling) which caused serious injury to some people,4 stars,2020
3 weeks ago,Best Ice skating in Cebu,4 stars,2024
4 years ago,"Good fun to ice skate in tropics. They sale glove, rent helmet and some sliding bears for beginners. Ice well organized. Really had a great time",5 stars,2020
11 months ago,Ice skates need replacement. They are smelly and defective and the shoe laces brittle,4 stars,2023
5 years ago,"My son and daughter had a lovely, enjoyable and fun time there!",4 stars,2019
1 year ago,Very affordable price. Skates and gears are inclusive. Gloves and socks also available.,5 stars,2023
5 months ago,Well organized and lots of fun,4 stars,2023
4 years ago,A very nice activity to go with family and friends. You can really have a hapy time there. i put 4 star just because i find the price too expensive!,4 stars,2020
8 months ago,It was great and fun,5 stars,2023
6 years ago,"No size 39. Don't sell tickets if there aren't skating shoes available. Absolutely disappointed, seriously the staff have this IDGAF face when I complained the size 38's hurts.",1 star,2018
4 days ago,Great!,4 stars,2024
7 months ago,Awesome!,5 stars,2023
7 months ago,Amazing!,5 stars,2023
4 years ago,It's so nice watching Youn ages trying their best to get trough ice skating and challenge their selve for improvement of doing it in a day,5 stars,2020
4 years ago,"I never done ice skating  but
Seeing other people smiling,happy, and having fun because  of this, I'm happy to",5 stars,2020
4 years ago,People are soo nice. You can ask the skaters who arent training to help or teach you and they will willingly do so,5 stars,2020
4 years ago,"The skating is a great place for practice, the only thing is their customer service, thatd why i gave 3 stars",3 stars,2020
4 years ago,a cool place that you can enjoyed to watch while everyone is having fun in ice skating rinks..,5 stars,2020
4 years ago,We can use the Locker only once.How to eat snak and drink water?I do not understand.,2 stars,2020
1 year ago,Happee to see a beautiful face like one of the japanese figure skaters competing for 2023,5 stars,2023
4 years ago,Skates are not good at all. But as first experience for locals it's very good!,3 stars,2020
5 years ago,"Twas reallllly fun but buttt for first timers, i got a foot ache. Haahhahaha but over all. It was worth it.",5 stars,2019
4 years ago,I was expecting to learn how to skate but unfortunately no trainor is available. Not good for first timer if no trainor.,4 stars,2020
5 years ago,"If you want to experience ice skating, then this place is a good place to go ice skating.",5 stars,2019
1 year ago,Good to know the skating rink is now open!!!,5 stars,2023
4 years ago,The rink was wonderful but the people do not give great service,3 stars,2020
4 years ago,"It's fun in here. Rental shoes are bad tho, it's very stinky and uncomfortable",4 stars,2020
3 years ago,Way too expensive!!!!,1 star,2021
3 months ago,nice,5 stars,2024
4 years ago,Experience skating in sm SEASIDE,5 stars,2020
4 years ago,I just walked past the place but it pools looked nice,4 stars,2020
4 years ago,"Nice place, gopd shooping, good food. And good prices!",5 stars,2020
4 years ago,Stuggle is real when it's your first time lol.,5 stars,2020
4 years ago,Nice place good for people who would like to skate.,5 stars,2020
4 years ago,ice skating in Cebu actually exists...take all the safety precations！,5 stars,2020
4 years ago,Tiring but fun!,5 stars,2020
4 years ago,i don't skate but it's to see kids skating and show talents,4 stars,2020
4 years ago,Here you can sing let it go from frozen:),5 stars,2020
4 years ago,Here you can practice skating with the ice prior to flying Iceland...,5 stars,2020
7 months ago,"If you wanna skate this is the place, only ice surface in Cebu.",4 stars,2023
4 years ago,Love the Foods and View Of The Mall From High.,5 stars,2020
4 years ago,so much fun,5 stars,2020
4 years ago,It was good fun the children love it too,4 stars,2020
5 years ago,Love the experience so much fun,5 stars,2019
8 months ago,Great experience,5 stars,2023
5 years ago,Wider artificial ice skating feels like real.,4 stars,2019
3 months ago,Valbasauuurrr,4 stars,2024
4 years ago,Very accommodating staff's 👍 …,5 stars,2020
4 years ago,we just have our bonding,4 stars,2020
4 years ago,Ok and help full staff,4 stars,2020
5 years ago,Ice skating rink.,5 stars,2019
4 years ago,Very good,5 stars,2020
4 years ago,So cold,5 stars,2020
4 years ago,ice skating ring so fun,5 stars,2020
5 years ago,Ise skating is life💗💗💗 …,5 stars,2019
4 years ago,It is super fun,5 stars,2020
4 years ago,It's great!,5 stars,2020
4 years ago,super duper fun,5 stars,2020
4 years ago,Do not skate,3 stars,2020
8 years ago,nice and fun.,4 stars,2016
4 years ago,Fun place!,4 stars,2020
2 years ago,Still closed.,1 star,2022
4 years ago,Nice place,5 stars,2020
4 years ago,good to play skating,5 stars,2020
4 years ago,Huge,4 stars,2020
4 years ago,No comment for this,5 stars,2020
1 year ago,Great experience,4 stars,2023
3 months ago,"Very quiet
I went with a child who was skating for the first time, and he was proud that he was able to skate on his own because there was a device he could hold on to. Of course, he said he was good at riding alone and gave me a seal applause.

Ice quality is not good
Adults say it's a bit chilly in shorts and shorts, and children say it's a bit cold. Long pants required. Socks required. Be careful to enter at the skating time, every 2 hours.",3 stars,2024
11 months ago,"The all-day ticket was 599 pesos. Perhaps because of the price range, more people purchase the 2-hour ticket, but even though it was the weekend and there were a lot of people, it was still worth the ride. You can only use Polar Bear for 1 hour and the locker costs 50 pesos, but since it is one time, the staff will add 5 pesos if you need to open and close it again.",5 stars,2023
2 months ago,"The ice surface is good, but the skates are in poor condition. They stink, are uncomfortable and pretty broken.
My feet hurt and I couldn't enjoy skating.",3 stars,2024
7 months ago,"It is a little smaller than Busan Shinsegae Ice Rink.
The ice doesn't melt and it's cool.
Rental skates smell and the blades are badly worn.
There are a lot of slips between guests.",3 stars,2023
5 years ago,"A must try experience. More is better. Muscle pain is sure to be the star tomorrow. lol
But it's worth it. There are lockers for rent so don't worry about your valuables. Leave your mobile phones to avoid accidents. Enjoy the moment. Even if there is no picture, it's ok than breaking your phone. Enjoy skating.",5 stars,2019
8 months ago,"It's fun, but the disadvantage is that the shoes are a bit dirty and smelly.",4 stars,2023
1 year ago,"If you go at the first time, it is not crowded and you can use it. The quality of the ice is uneven, but it is enough to keep you cool in hot countries.",4 stars,2023
4 years ago,"A fantastic skating rink, both for children and adults. Really recommend.",3 stars,2020
4 years ago,"Skates, helmets, knee guards, etc. were wet. There was no toilet cover in the bathroom, which was disappointing. But the staff are friendly",4 stars,2020
1 year ago,It was nice to be able to leisurely skate on a Sunday morning.,5 stars,2023
4 years ago,Both children and adults enjoy it. Weheheh,4 stars,2020
4 years ago,I think it's quite fun!,5 stars,2020
4 years ago,"Its price is 450 pesos
Very suitable",4 stars,2020
4 years ago,,4 stars,2020
1 year ago,300 pesos for 2 hours,5 stars,2023
4 years ago,,5 stars,2020
4 years ago,Highly recommended if you are traveling with children,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,3 stars,2020
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,2 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
2 years ago,,5 stars,2022
4 years ago,,5 stars,2020
6 years ago,,5 stars,2018
4 years ago,,1 star,2020
4 years ago,,4 stars,2020
4 years ago,,4 stars,2020
7 months ago,,5 stars,2023
1 month ago,,5 stars,2024
4 years ago,,4 stars,2020
8 months ago,,5 stars,2023
4 years ago,,5 stars,2020
5 years ago,,4 stars,2019
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
5 years ago,,5 stars,2019
4 years ago,,3 stars,2020
2 months ago,,5 stars,2024
2 months ago,,5 stars,2024
4 years ago,,3 stars,2020
1 month ago,,5 stars,2024
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
3 months ago,,5 stars,2024
4 years ago,,5 stars,2020
6 months ago,,3 stars,2023
4 years ago,,5 stars,2020
4 years ago,,3 stars,2020
8 months ago,,5 stars,2023
5 years ago,,5 stars,2019
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
3 months ago,,5 stars,2024
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
7 months ago,,5 stars,2023
1 year ago,,4 stars,2023
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
4 years ago,,4 stars,2020
8 months ago,,3 stars,2023
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
3 years ago,,5 stars,2021
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
8 months ago,,5 stars,2023
4 years ago,,5 stars,2020
1 year ago,,5 stars,2023
4 years ago,,4 stars,2020
4 months ago,,5 stars,2023
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
1 year ago,,4 stars,2023
4 years ago,,5 stars,2020
6 years ago,,5 stars,2018
4 years ago,,5 stars,2020
4 years ago,,3 stars,2020
1 year ago,,4 stars,2023
4 years ago,,4 stars,2020
4 years ago,,5 stars,2020
9 months ago,,4 stars,2023
4 years ago,,4 stars,2020
5 years ago,,5 stars,2019
7 years ago,,5 stars,2017
5 months ago,,4 stars,2023
3 months ago,,5 stars,2024
4 years ago,,1 star,2020
4 years ago,,5 stars,2020
7 months ago,,5 stars,2023
9 months ago,,5 stars,2023
4 years ago,,4 stars,2020
9 months ago,,4 stars,2023
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,3 stars,2020
9 months ago,,5 stars,2023
4 years ago,,5 stars,2020
1 year ago,,4 stars,2023
4 years ago,,3 stars,2020
4 years ago,,5 stars,2020
5 years ago,,5 stars,2019
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
4 years ago,,1 star,2020
9 months ago,,1 star,2023
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
4 years ago,,3 stars,2020
4 years ago,,3 stars,2020
8 months ago,,5 stars,2023
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
5 years ago,,3 stars,2019
9 months ago,,5 stars,2023
5 years ago,,5 stars,2019
4 years ago,,4 stars,2020
4 years ago,,4 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
9 months ago,,5 stars,2023
1 year ago,,5 stars,2023
4 months ago,,5 stars,2023
1 year ago,,5 stars,2023
4 years ago,,5 stars,2020
1 year ago,,5 stars,2023
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
1 year ago,,5 stars,2023
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
4 years ago,,4 stars,2020
4 years ago,,4 stars,2020
4 years ago,,5 stars,2020
10 months ago,,5 stars,2023
4 years ago,,5 stars,2020
4 years ago,,3 stars,2020
4 years ago,,4 stars,2020
4 years ago,,1 star,2020
4 years ago,,4 stars,2020
6 months ago,,5 stars,2023
7 months ago,,5 stars,2023
4 years ago,,4 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,2 stars,2020
4 years ago,,4 stars,2020
4 years ago,,4 stars,2020
3 months ago,,4 stars,2024
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
7 months ago,,5 stars,2023
5 months ago,,5 stars,2023
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
4 years ago,,4 stars,2020
5 years ago,,4 stars,2019
1 year ago,,4 stars,2023
4 years ago,,4 stars,2020
10 months ago,,5 stars,2023
4 years ago,,5 stars,2020
9 months ago,,4 stars,2023
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
1 year ago,,5 stars,2023
1 year ago,,5 stars,2023
4 years ago,,4 stars,2020
4 years ago,,5 stars,2020
4 years ago,,3 stars,2020
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
4 years ago,,3 stars,2020
4 months ago,,4 stars,2023
4 years ago,,5 stars,2020
6 months ago,,5 stars,2023
4 years ago,,3 stars,2020
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
5 years ago,,5 stars,2019
4 years ago,,5 stars,2020
4 years ago,,3 stars,2020
4 years ago,,4 stars,2020
5 years ago,,4 stars,2019
5 years ago,,5 stars,2019
4 years ago,,3 stars,2020
4 years ago,,2 stars,2020
7 years ago,,5 stars,2017
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
1 year ago,,4 stars,2023
1 year ago,,5 stars,2023
4 months ago,,3 stars,2023
4 years ago,,5 stars,2020
1 year ago,,5 stars,2023
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
4 years ago,,4 stars,2020
