review_time_ago,review_text,review_rating,review_year
1 year ago,"I started to learn to skate here, and that was awesome",5 stars,2023
6 years ago,Delighted with the way it is maintained.,4 stars,2018
4 years ago,"Visited on a weekday, there were only a few people ice-skating. Bring/wear socks.",5 stars,2020
1 year ago,very nice and .they are cleanliness,1 star,2023
1 year ago,Great place to kill time,4 stars,2023
1 year ago,Shoes are very uncomfortable and have a very bad smell,1 star,2023
4 years ago,Cool as ice,5 stars,2020
1 year ago,Very nice for all ages🤣 …,4 stars,2023
1 year ago,"Nice place for shopping, some stuff",5 stars,2023
1 year ago,Already fully booked; crowded,1 star,2023
4 years ago,Very Well maintained international standard ice skating rink.,5 stars,2020
7 years ago,"Excellent facility for newbies to learn ice skating, affordable paid lessons.",5 stars,2017
4 years ago,There are too many people but worth the try.,4 stars,2020
1 year ago,it nice for the children to play in snow.,5 stars,2023
1 year ago,Cool,5 stars,2023
1 year ago,A huge place to practice your skating skills.,4 stars,2023
1 year ago,Great place for kids.,5 stars,2023
1 year ago,Haven't tried it yet,5 stars,2023
1 year ago,"Ownsome sports play ground for kids,",5 stars,2023
1 year ago,Great way to get well.,5 stars,2023
1 year ago,Enjoy watching skating rink!!,5 stars,2023
1 year ago,The best rink in the pHilippines,5 stars,2023
7 months ago,Best experience,5 stars,2023
1 year ago,Have fun,5 stars,2023
1 year ago,Holidays 2022,5 stars,2023
1 year ago,Clean and quiet place for skating,4 stars,2023
1 year ago,very good,5 stars,2023
1 year ago,Nice rink and nice coaches.,5 stars,2023
5 years ago,I don't like here. Also for Instructors.,3 stars,2019
1 year ago,Overcrowded during weekend,3 stars,2023
1 year ago,My kids love it.,5 stars,2023
4 years ago,Good fun but skates are dull,4 stars,2020
1 year ago,Amazing 👏 …,5 stars,2023
4 years ago,"Nice skating rink, going here to practice ice skating 😁 …",5 stars,2020
1 year ago,Fun.,5 stars,2023
1 year ago,I love it,5 stars,2023
1 year ago,Nice place to practice skating,4 stars,2023
1 year ago,Very long queues.,4 stars,2023
3 years ago,So much fun here,5 stars,2021
1 year ago,Nice👍☺ …,5 stars,2023
1 year ago,I like SM skating rink,5 stars,2023
1 year ago,successful,1 star,2023
1 year ago,perfect shopping mall,5 stars,2023
5 years ago,They have unliskate on weekends,4 stars,2019
1 year ago,Beautiful and interesting,4 stars,2023
1 year ago,Great experience,5 stars,2023
1 year ago,Ok,5 stars,2023
1 year ago,Nice place,4 stars,2023
11 months ago,Real Happiness,5 stars,2023
1 year ago,Loved it with the kids.,5 stars,2023
1 year ago,Same as how it was when I was a kid,4 stars,2023
1 year ago,Skating area for all ages,5 stars,2023
1 year ago,Crowded sometimes,2 stars,2023
4 years ago,Fun times,4 stars,2020
1 year ago,Was excellent.,5 stars,2023
1 year ago,Amazing,5 stars,2023
1 year ago,Cool and fun.,4 stars,2023
1 year ago,Nice,5 stars,2023
1 year ago,Nice place to skate,5 stars,2023
4 years ago,Accessible. Sufficient size.,5 stars,2020
4 years ago,To many polar bears in the way,4 stars,2020
5 years ago,Enjoy doing skates here,5 stars,2019
1 year ago,Good,4 stars,2023
1 year ago,Superb!!!,5 stars,2023
1 year ago,Cool,5 stars,2023
4 years ago,The place is good.,5 stars,2020
1 year ago,Perfect,5 stars,2023
1 year ago,❤❤,5 stars,2023
4 years ago,☺️😊 …,4 stars,2020
1 year ago,👍👍👍 …,5 stars,2023
1 year ago,👍👍 …,5 stars,2023
5 years ago,Love the place😍 …,4 stars,2019
5 years ago,Great place,5 stars,2019
1 year ago,Love it.,5 stars,2023
1 year ago,Ok,3 stars,2023
5 years ago,My homerink...,5 stars,2019
4 years ago,It was fun skating,5 stars,2020
1 year ago,Rink for skaters,4 stars,2023
1 year ago,Nice,5 stars,2023
1 year ago,Love it.,5 stars,2023
1 year ago,Nice place,5 stars,2023
1 year ago,Good,5 stars,2023
1 year ago,Nice place,5 stars,2023
23 hours ago,"Best to bring your own skates.
The entrance fee gets you a pair of garbage skates. Their rentals are all cheap, shameful pairs of dung.",2 stars,2024
1 year ago,"nice,,,",5 stars,2023
4 weeks ago,"Finally! 1st time trying ice skating and super FUN! I think you can pay less if you buy online, but we did the research too late. Either way, we had a great time and we were so tired that we didn't finish the 2 hours 🥲 we rented the teddy bear for ₱125/hour, would definitely try again next time 🥰",5 stars,2024
4 months ago,"First time ice skating and I experienced super fun. They have padisco lights and for newbies you can rent a polar bear. The guides are also super helpful because they will teach you how not to fall, but along the way you'll also learn something so for sure the 2nd time I go I'm not stuck on one side anymore.",5 stars,2023
1 year ago,"I went at 6 o'clock on a Saturday and couldn't get in because I didn't have enough shoes.
I went at 6pm on Sunday and was told to go in at 7:30.
There is a 2-hour pass and a day pass, and 2 hours is enough to ride.
If you get a 2-hour pass, you'll have to wait if you don't go on time, so it's better to go on time.
Times and fees are attached with photos.

Temperature - It was short-sleeved shorts and it wasn't cold at all. I was almost sweating. There doesn't seem to be a need to bring thick clothes.

Shoes - There were no sizes 10 and 11, so I wore size 12. There is a size measuring machine so you don't have to find out in advance. And if you go at 5 or 7 o'clock, your shoes may be dirty and wet because other people wore them at the previous time.

Lockers - I ordered a 2-hour pass for two people, and lockers were automatically included in the receipt. 50 pesos is automatically added.
First, I had to put my shoes and bag in, but it was full after I put in one backpack. I went into the skating rink with my bag and got kicked out. You cannot carry bags inside. If you have a lot of luggage, buy more lockers.

Polar Bear - Hold and ride is a tool for beginners. It's 100 pesos per hour, but no one cares about the time. And because there are not enough numbers, if you rent it late, you have to wait with a waiting number.
They are also made so that you can sit on Polar Bear's lap, and although they are all different sizes, they are the same price. I rented a small one and couldn't even sit on it, so I ended up replacing it later. They say I can't exchange it with other people, but I still don't understand.

People - Most people are not good at riding. And there are about 10 to 20% of people who are very good at riding, and they seem to be aspiring athletes or practicing professionals. The receptionists were not friendly.",3 stars,2023
3 months ago,"There are sizes 8, 9, 11, 12, and 13, but no 10? Didn't even say there was no stock before I paid the P450. The skates are still smelly + The ice was not properly cleaned before our batch",1 star,2024
3 months ago,"Provided shoes 3 sizes larger, can't provide refunds despite not preparing for a regular volume of people, broken at one end, and the music speaker is broken; Just go to MOA",1 star,2024
5 years ago,"I never expected to be able to go skating⛸️ in Manila😮

It's 450p and the shoes are also cheap.
Locker fee is 50p, unlimited times a day☝️😉
You are free to come and go.
Short sleeves and jeans are OK.
I think it is better for children to wear gloves.

You can almost have fun skiing just like in Japan ☝️",5 stars,2019
1 year ago,"price is cheap
With a 2-hour pass, you have to go at a set time, which is a hassle, and it's very crowded to get in.
The link is also narrower than MOA",3 stars,2023
1 year ago,The ice skating boots hurt the feet even with socks on.. anyway we had fun.,4 stars,2023
1 year ago,"It's fun exp but I can't enjoy skating much because I don't know how. The given shaking skate is already wet, but you can request another dry one. It might be 500Php now but there is often a discount online at MetroDeal.",5 stars,2023
1 year ago,"It's nice, you can also just watch it",5 stars,2023
1 year ago,"The nice thing here is that there is unlimited 🤗 if you don't know how, it's okay for now, hehe. …",5 stars,2023
9 months ago,"I am not satisfied with the shoes, the gears are old and it still smells.",1 star,2023
1 year ago,Super enjoy! There were quite a few people when we went.,5 stars,2023
10 months ago,I am happy and full of joy. I'm still happy,5 stars,2023
1 year ago,"Tip, eat breakfast so that you are the first and there are only a few people.",5 stars,2023
1 year ago,The skates just stink. Haha. Better bring your own skates,5 stars,2023
1 year ago,🔥💯​​​​​​​​​​​​​​💓 Soli deo gloria. Dinner muna …,5 stars,2023
1 year ago,you can hang out while watching those playing on the ice,5 stars,2023
4 years ago,it's cold because there's ice haha ​​and the shoes hurt my feet,3 stars,2020
1 year ago,My brother!,5 stars,2023
1 year ago,"people crowded, too much traffic entering the Mega Mall",5 stars,2023
1 year ago,,5 stars,2023
5 years ago,Great place for skating in the city,4 stars,2019
1 year ago,,5 stars,2023
11 months ago,,5 stars,2023
1 year ago,Lots of people but enjoy it.,4 stars,2023
1 year ago,"It is very crowded, you have to come early",5 stars,2023
1 year ago,,5 stars,2023
1 year ago,because it's beautiful,5 stars,2023
1 year ago,,4 stars,2023
1 year ago,,5 stars,2023
1 year ago,God's,5 stars,2023
1 year ago,,5 stars,2023
5 years ago,,5 stars,2019
2 years ago,Gavsh,5 stars,2022
1 year ago,Naol is skating,1 star,2023
4 years ago,,5 stars,2020
4 years ago,,5 stars,2020
1 year ago,,5 stars,2023
5 years ago,,4 stars,2019
5 years ago,,4 stars,2019
1 year ago,,5 stars,2023
1 year ago,,5 stars,2023
1 year ago,,5 stars,2023
1 year ago,,5 stars,2023
1 year ago,,5 stars,2023
1 year ago,,5 stars,2023
1 year ago,,5 stars,2023
1 year ago,,5 stars,2023
1 year ago,,5 stars,2023
