review_text,preprocessed_review_text,review_rating,review_year,branch,scores_roberta,neg,neu,pos,sentiment_int
Sm Ice skating is located in upper floor Sm seaside. Many young people come here for play. but it need to line and waiting. Price for 2 hour is 300p. Very nice experience must try!!,sm ice skating be locate in upper floor seaside many young people come here to play but it need line and wait price for 2 hour 300p very nice experience must try,5 stars,2023,cebu,"{'neg': 0.008424362, 'neu': 0.062272504, 'pos': 0.9293031}",0.008424362,0.062272504,0.9293031,positive
"It is a must experience, I came in the field without any experience and no training guides, dropped a lot as expected but got a hang of it a little bit after two hours or so.
So far, it was really challenging but super fun, it's a must try.
I would say that I got some leg cramps but that is partly my fault for not paying for the guide training snow bears that are meant for beginners, they were pretty expensive in a whopping 100 peso for rental.
I could say one of the downsides is the somewhat of a lack of maintenance for the Ice skating shoes or whatever they're called, some of them are very dirty and it irritated a bit of my skin allergies.
There's no staff on the field so I'm not sure if there's a lot of safety in mind, probably too sure that all beginners will buy the newbie bears for guidance.
Still a pretty nice experience to have though.
I saw some of the new kids falling over including myself and there's no staff whatsoever to check if they are ok or not and most people wouldn't care and just continue flexing their Skating skills which annoyed me a bit.
The area is also near with Food places so after a long tiring skate you can chill with your family or friends, or with yourself and eat good food.",it be a must experience i come in the field without any and no training guide drop lot as expect but get hang of little bit after two hour or so far be really challenge super fun its try would say that some leg cramp partly my fault for not pay guide snow bear be mean beginner they be pretty expensive whopping 100 peso rental could one downside somewhat lack maintenance ice skating shoe whatever theyre call them very dirty irritate skin allergy theres staff on im sure if safety mind probably too all will buy newbie guidance still nice to have though saw new kid fall over include myself whatsoever check ok most people wouldnt care just continue flex their skill which annoy me area also near with food place long tiring skate you can chill your family friend yourself eat good,4 stars,2023,cebu,"{'neg': 0.13539623, 'neu': 0.3436954, 'pos': 0.52090836}",0.13539623,0.3436954,0.52090836,positive
Great experience ice skating in SM Seaside Cebu City.,great experience ice skate in sm seaside cebu city,5 stars,2024,cebu,"{'neg': 0.0014334207, 'neu': 0.027344683, 'pos': 0.9712219}",0.0014334207,0.027344683,0.9712219,positive
Nice place to spend with family. I enjoyed learning how to iceskate (or icewalk) 😁 with my kids. Core memory for our family ❤️ …,nice place to spend with family . i enjoy learn how iceskate or icewalk my kid core memory for our,5 stars,2023,cebu,"{'neg': 0.0024737124, 'neu': 0.025259439, 'pos': 0.9722669}",0.0024737124,0.025259439,0.9722669,positive
"FUN IN ICE.  I always visit this place because my 6- year old loves to skate on ice.  The rink is very spacious. They have plenty of watchers who will constantly ensure that the rules in the place are followed. As long as my daughter loves this, I love this, too.",fun in ice i always visit this place because my 6 year old love to skate on the rink be very spacious they have plenty of watcher who will constantly ensure that rule be follow as long daughter love too,5 stars,2020,cebu,"{'neg': 0.0018249621, 'neu': 0.029028533, 'pos': 0.96914643}",0.0018249621,0.029028533,0.96914643,positive
"The reason why I gave 4 stars its because the SM ICE SKATING RINK should include in their Fee - a short Tutorial and Guide/Assistance for FIRST TIMERS. Nevertheless, the service and staff are great. Though there are limited snacks inside though. The SM Ice Skating Rink is a perfect place for your dream Ice Skating experience. They have a 30-minute Ice Resurfacing Schedule at various timelines of the day.",the reason why i give 4 star its because sm ice skate rink should include in their fee a short tutorial and guideassistance for first timer nevertheless service staff be great though there limited snack inside be perfect place your dream experience they have 30 minute resurface schedule at various timeline of day,4 stars,2020,cebu,"{'neg': 0.0056894165, 'neu': 0.08834806, 'pos': 0.9059625}",0.0056894165,0.08834806,0.9059625,positive
"I was a first-timer and preferred not to hire a coach, so the first few rounds were VERY challenging. But the whole experience was fun, except that my feet hurt not because of all the skating but because of the ice skates. I've got no idea why the skates seemed to hurt my feet every time even though I chose the right size.

The place was not very huge and seemed a bit too crowded, maybe because it was on a Saturday. There were loads of children.

At the weekends, you can avail only the Unlimited Skating, no other choices, for PHP420. Make sure to add PHP50 to your budget - for the locker, to make sure your things are in a safe place whilst you skate, for peace of mind. ;)",i be a firsttimer and prefer not to hire coach so the first few round be very challenge but whole experience fun except that my foot hurt because of all skating ice skate get no idea why seem every time even though choose right size place huge bit too crowd maybe it on saturday there load child at weekend you can avail only unlimited other choice for php420 make sure add php50 your budget locker thing be in safe while skate peace mind,4 stars,2019,cebu,"{'neg': 0.10343488, 'neu': 0.41559944, 'pos': 0.48096573}",0.10343488,0.41559944,0.48096573,positive
We love to visit here with my family and friends. We enjoy skating to relax and enjoy.,we love to visit here with my family and friend . enjoy skate relax,5 stars,2023,cebu,"{'neg': 0.0013935642, 'neu': 0.015671112, 'pos': 0.9829353}",0.0013935642,0.015671112,0.9829353,positive
I would highly suggest the people should just go on one direction either clockwise or counterclockwise so that people will not clash. That is how it's done in UK so that no one will clash and the professionals can skate round in the middle in the same direction.,i would highly suggest the people should just go on one direction either clockwise or counterclockwise so that will not clash be how its do in uk no and professional can skate round middle same,2 stars,2024,cebu,"{'neg': 0.034373526, 'neu': 0.74790585, 'pos': 0.21772063}",0.034373526,0.74790585,0.21772063,neutral
"It was my first time to try ice skating and it was hard to do in actual rather than just thinking on how to do it. But anyone can get better on it with constant practice and training with the application of basics. The location is a great place to experience actual ice skating. And also a great place and time to bond with family, friends and loved ones.",it be my first time to try ice skating and hard do in actual rather than just think on how but anyone can get good at with constant practice training the application of basic location be a great place experience also bond family friend love one,5 stars,2020,cebu,"{'neg': 0.0025236062, 'neu': 0.040878277, 'pos': 0.95659816}",0.0025236062,0.040878277,0.95659816,positive
"Fun for all ages. 2 hours or daily passes. Daily passes offer the best value. On fire skates rental, included. Locker, polar bear (to hold on to if you don't know how to skate) and instructors are extra. Food court nearby, benches for those who don't skate and just want to watch.
Good place to burn some energy.",fun for all age 2 hour or daily pass offer the best value on fire skate rental included locker polar bear to hold if you dont know how skate and instructor be extra food court nearby bench those who just want watch good place burn some energy,4 stars,2023,cebu,"{'neg': 0.00723888, 'neu': 0.13075358, 'pos': 0.8620076}",0.00723888,0.13075358,0.8620076,positive
"It is a fun filled way to spend time and go active

It is a way to feel you are not in a tropical country anymore  affordable and even has a bear stand or assist for beginners that cant balance yet for 100 pesos

You can also get a skating coach .",it be a fun fill way to spend time and go active feel you be not in tropical country anymore affordable even have bear stand or assist for beginner that cant balance yet 100 peso can also get skating coach,5 stars,2020,cebu,"{'neg': 0.0094023645, 'neu': 0.13921835, 'pos': 0.85137933}",0.0094023645,0.13921835,0.85137933,positive
"It's nice to enjoy , but they need to get new shoe laces for the ice skates other than that I recommend you go before noon otherwise it will be very crowded",its nice to enjoy but they need get new shoe lace for the ice skate other than that i recommend you go before noon otherwise it will be very crowded,5 stars,2023,cebu,"{'neg': 0.06382695, 'neu': 0.28246304, 'pos': 0.65371}",0.06382695,0.28246304,0.65371,positive
Had a lot of fuuuun. Me and my friends got to avail 250.00 on a weekday at 7p-9p. Twas really fun.,have a lot of fun me and my friend get to avail 250 on weekday at 7p9p twas really,5 stars,2020,cebu,"{'neg': 0.0011842588, 'neu': 0.012178493, 'pos': 0.98663723}",0.0011842588,0.012178493,0.98663723,positive
"I was shocked to see NOBODY skating at 7pm, only to find out that their basic rate is 420 pesos for unlimited hours! Their skate shoes are hard, way too hard that my bunions got swollen in just 10mins. But either way, I had fun skating even though their ice was old and frosty and some parts are uneven.",i be shock to see nobody skate at 7pm only find out that their basic rate be 420 peso for unlimited hour skate shoe be hard way too my bunion get swell in just 10mins but either have fun even though ice old and frosty some part uneven,2 stars,2019,cebu,"{'neg': 0.21680813, 'neu': 0.493249, 'pos': 0.28994286}",0.21680813,0.493249,0.28994286,neutral
Great ice skating. Love it !,great ice skate love it,5 stars,2023,cebu,"{'neg': 0.0024346313, 'neu': 0.011835744, 'pos': 0.9857296}",0.0024346313,0.011835744,0.9857296,positive
A whole lot of fun for the kids but they are quite a bit pricier than a movie and they don't appear to have per hour rates. They haven't maintained their stock of available sizes. Quite a number of sizes were unavailable early in the day and they don't sell skates in the shop.,a whole lot of fun for the kid but they be quite bit pricy than movie and dont appear to have per hour rate havent maintain their stock available size number be unavailable early in day sell skate shop,3 stars,2017,cebu,"{'neg': 0.19969696, 'neu': 0.4270787, 'pos': 0.37322435}",0.19969696,0.4270787,0.37322435,neutral
"Went to play here last 2019 before COVID and went there again recently, its much better now since its not that crowded as it used to be. The staff are there and alert to watch over any injuries. We didn't have that much fun since we didnt know how to skate and didn't ""rent"" a coach. We just went to try it and overall it was fun. A little pricey though but fun.",go to play here last 2019 before covid and there again recently its much good now since not that crowd as it use be the staff be alert watch over any injury we didnt have fun know how skate do n't rent a coach just try overall be little pricey though but,4 stars,2023,cebu,"{'neg': 0.028786799, 'neu': 0.14760436, 'pos': 0.8236089}",0.028786799,0.14760436,0.8236089,positive
"Thank you so much to the staff!! I accidentally left my tablet on the comfort room after we went ice skating. They were very kind and helpful to me when I went back to ask if they have it. Thank you so much! You guys were definitely heros especially in terms of my grades since my school documents are in said tab haha. Again, thank you!! Also a massive thank you to the unknown customer who turned over my tab when they found it! You guys are life savers huhu

And the ice skating itself was fun haha thanks. A great place to bond with friends, family, and your date!",thank you so much to the staff i accidentally leave my tablet on comfort room after we go ice skate they be very kind and helpful me when back ask if have it guy definitely heroes especially in term of grade since school document be say tab haha ​​again also a massive unknown customer who turn over find life saver huhu itself be fun ​​thanks great place bond with friend family your date,5 stars,2023,cebu,"{'neg': 0.0030269478, 'neu': 0.014044193, 'pos': 0.9829289}",0.0030269478,0.014044193,0.9829289,positive
An international standard ice skating rink.  Good for everyone.,an international standard ice skate rink good for everyone,5 stars,2019,cebu,"{'neg': 0.0016933616, 'neu': 0.051697697, 'pos': 0.94660896}",0.0016933616,0.051697697,0.94660896,positive
Great activity for Kids,great activity for kid,5 stars,2024,cebu,"{'neg': 0.0024006544, 'neu': 0.031076215, 'pos': 0.9665231}",0.0024006544,0.031076215,0.9665231,positive
"The place itself is nice, though I don't think they disinfect the shoes thoroughly after someone has used them as they smell bad. Their largest shoes are only a size 9 or something which were way too small for me (I have size 10.5 feet) so my feet were cramped and got really sore after the session.",the place itself be nice though i dont think they disinfect shoe thoroughly after someone have use them as smell bad their large be only a size 9 or something which be way too small for me have 105 foot so my cramp and get really sore session,3 stars,2020,cebu,"{'neg': 0.4647655, 'neu': 0.41294983, 'pos': 0.12228473}",0.4647655,0.41294983,0.12228473,negative
Cold. And best for kids who have nothing else to do..,cold and best for kid who have nothing else to do,4 stars,2020,cebu,"{'neg': 0.19259103, 'neu': 0.5262328, 'pos': 0.28117627}",0.19259103,0.5262328,0.28117627,neutral
"Good place to have fun with your kids, they will love it. Only daytickets for 420php, no by hour offers, kids are tired after 1hour! Small lockers which you can open only one time for 50php!!, most disturbing was the really loud music, hardly understood my son when he talked to me, ice quality good.",good place to have fun with your kid they will love it only daytickets for 420php no by hour offer be tire after 1hour small locker which you can open one time 50php most disturbing be the really loud music hardly understood my son when he talk me ice quality,2 stars,2018,cebu,"{'neg': 0.14700563, 'neu': 0.23712876, 'pos': 0.6158656}",0.14700563,0.23712876,0.6158656,positive
"I love skating. This is the best hobby that I found and I skate for the first time in 2017. The unlimited skating is P420, but pay P500 or P1000 and the locker is only P50, cheaper. But last June, I had an incident, I slided when driving and fighting in polar bears and I am only unlimited, I choose that I wouldn't have a polar bear because it is expensived. In other words, the skating rink has a cleaning time in every skating.",i love skating this be the best hobby that find and skate for first time in 2017 unlimited p420 but pay p500 or p10 locker only p50 cheap last june have an incident slide when drive fight polar bear be choose would n't have a bear because it expensive other word rink have cleaning every,5 stars,2020,cebu,"{'neg': 0.0056468705, 'neu': 0.04239421, 'pos': 0.95195895}",0.0056468705,0.04239421,0.95195895,positive
"Great place to have fun with your friends. For those first timers I recommend you guys to use the polar bears (which is 100 per hour).
I only give 4 stars because you're not allowed to bring food. If you're hungry u have to buy your food from their snack stall which is kinda expensive",great place to have fun with your friend for those first timer i recommend you guy use the polar bear which be 100 per hour only give 4 star because youre not allow bring food if hungry u buy from their snack stall kinda expensive,4 stars,2019,cebu,"{'neg': 0.007975704, 'neu': 0.05163793, 'pos': 0.9403863}",0.007975704,0.05163793,0.9403863,positive
Good experience!,good experience,5 stars,2023,cebu,"{'neg': 0.006534744, 'neu': 0.0725766, 'pos': 0.92088866}",0.006534744,0.0725766,0.92088866,positive
Good,good,5 stars,2023,cebu,"{'neg': 0.057428338, 'neu': 0.27954638, 'pos': 0.6630253}",0.057428338,0.27954638,0.6630253,positive
"Very good place for kids and kids at heart. At P450 for unlimited skating, you can skate all you want. They also offer figure skating and ice hockey lessons.

Good thing it’s right across the Foodcourt in case the kids get hungry or thirsty.

This is our go to place whenever we have to wait for other family members to finish shopping or having their nails done. We sit in the bleachers enjoying the antics of the skaters while doing FB, texting or doing puzzles to pass the time. Then it’s time to go home. :)",very good place for kid and at heart p450 unlimited skating you can skate all want they also offer figure ice hockey lesson thing its right across the foodcourt in case get hungry or thirsty this be our go to whenever we have wait other family member finish shopping have their nail do sit bleacher enjoy antic of skater while do fb texting puzzle pass time then home,5 stars,2019,cebu,"{'neg': 0.0018906282, 'neu': 0.030615345, 'pos': 0.9674941}",0.0018906282,0.030615345,0.9674941,positive
My kids favorite. Go for the unlimited time for a price of 450 pesos it's all worth it. Kids will enjoy more and they will have more time to practice skating and make friends with other skaters there.,my kid favorite go for the unlimited time a price of 450 peso its all worth it will enjoy more and they have to practice skating make friend with other skater there,4 stars,2019,cebu,"{'neg': 0.001284486, 'neu': 0.029958533, 'pos': 0.968757}",0.001284486,0.029958533,0.968757,positive
"At 61 Im a bit old to get on the ice skates but our kids sure had a great time.  It was a fun day watching them learning to ice skate.   The staff was very helpful as they were being sized for skates.

To help they have these Polar Bear stabilizers that the kids push around the rink to help them get their ice legs.   I have never seen those before but it sure helped them stay steady for their first time.

Shout out to the Squid Snack kiosc just across from them.  Squid snacks are amazing,  they the BBQ and Spicey.",at 61 im a bit old to get on the ice skate but our kid sure have great time it be fun day watch them learn skate staff very helpful as they be be size for help have these polar bear stabilizer that push around rink their leg i never see those before help stay steady first shout out squid snack kiosk just across from snack be amaze bbq and spicey,5 stars,2020,cebu,"{'neg': 0.0029222765, 'neu': 0.03373189, 'pos': 0.96334577}",0.0029222765,0.03373189,0.96334577,positive
SM Skating Ring is located in SM Seaside at 3rd Floor in Cyber Zone area. It's really exciting if you are a beginner to use the skating board. There's a staff to teach you how to skate. Whether you are adult or teen there's no matter since this is just an experience for you to play in the ice rink. Spend your holiday time together with your family to watch or to skate in the ice. However if you are tired or wants to relax & feel hungry there's a lot of fastfoods near the skating rink to serve you if you want to eat. Come on & visit the SM Skating & relax together with your family to experiece the thrill of how to skate he!he!he! . GOD Bless & enjoy.,sm skate ring be locate in seaside at 3rd floor cyber ​​zone area its really exciting if you be a beginner to use the board there staff teach how skate whether adult or teen no matter since this just an experience for play ice rink spend your holiday time together with family watch however tire want relax feel hungry lot of fastfoods near serve eat come on visit thrill hehehe god bless enjoy,5 stars,2020,cebu,"{'neg': 0.001506991, 'neu': 0.013510777, 'pos': 0.98498225}",0.001506991,0.013510777,0.98498225,positive
"Great location, but skates were quite blunt and needed more sharpening. Was told they are sharpened every 6 months but really should be more often, especially since used so much.",great location but skate be quite blunt and need more sharpening be tell they be sharpen every 6 month really should be often especially since use so much,3 stars,2020,cebu,"{'neg': 0.08045077, 'neu': 0.6173922, 'pos': 0.30215704}",0.08045077,0.6173922,0.30215704,neutral
"The skating rink is high quality and well maintained. It offers lockers, instructors and even a polar bear shaped skating aid. Will come back often.

Payment ₱380 for unlimited skating",the skating rink be high quality and well maintain it offer locker instructor even a polar bear shape aid will come back often payment 380 for unlimited,5 stars,2017,cebu,"{'neg': 0.0022205513, 'neu': 0.14960112, 'pos': 0.84817827}",0.0022205513,0.14960112,0.84817827,positive
"When you're next in line to pay, the staff let's other groups cut in front of you.",when youre next in line to pay the staff let other group cut front of you,1 star,2023,cebu,"{'neg': 0.39174885, 'neu': 0.5778882, 'pos': 0.030362993}",0.39174885,0.5778882,0.030362993,neutral
Fun skating rink. Good size with assistance when needed. Prices are quite high with only unlimited skating offered most of the time. Could do with an hourly/session rate.,fun skating rink good size with assistance when need price be quite high only unlimited offer most of the time could do an hourlysession rate,5 stars,2019,cebu,"{'neg': 0.006630884, 'neu': 0.1805483, 'pos': 0.8128208}",0.006630884,0.1805483,0.8128208,positive
Fun place to learn ice skating in Cebu... in fact the ONLY ice rink in Cebu. They have awesome coaches and good equipment. The only problem is the ice tends to have a lot of bumps (due to water dropping from the ceiling) which caused serious injury to some people,fun place to learn ice skate in cebu fact the only rink they have awesome coach and good equipment problem be tend a lot of bump due water drop from ceiling which cause serious injury some people,4 stars,2020,cebu,"{'neg': 0.15237525, 'neu': 0.3364403, 'pos': 0.51118445}",0.15237525,0.3364403,0.51118445,positive
Best Ice skating in Cebu,best ice skate in cebu,4 stars,2024,cebu,"{'neg': 0.002227117, 'neu': 0.14699665, 'pos': 0.85077626}",0.002227117,0.14699665,0.85077626,positive
"Good fun to ice skate in tropics. They sale glove, rent helmet and some sliding bears for beginners. Ice well organized. Really had a great time",good fun to ice skate in tropic they sell glove rent helmet and some sliding bear for beginner well organize really have a great time,5 stars,2020,cebu,"{'neg': 0.0018264281, 'neu': 0.011639861, 'pos': 0.98653376}",0.0018264281,0.011639861,0.98653376,positive
Ice skates need replacement. They are smelly and defective and the shoe laces brittle,ice skate need replacement . they be smelly and defective the shoe lace brittle,4 stars,2023,cebu,"{'neg': 0.92282325, 'neu': 0.07129853, 'pos': 0.005878234}",0.92282325,0.07129853,0.005878234,negative
"My son and daughter had a lovely, enjoyable and fun time there!",my son and daughter have a lovely enjoyable fun time there,4 stars,2019,cebu,"{'neg': 0.0018906675, 'neu': 0.012205407, 'pos': 0.9859039}",0.0018906675,0.012205407,0.9859039,positive
Very affordable price. Skates and gears are inclusive. Gloves and socks also available.,very affordable price skate and gear be inclusive glove sock also available,5 stars,2023,cebu,"{'neg': 0.002019278, 'neu': 0.17429167, 'pos': 0.82368904}",0.002019278,0.17429167,0.82368904,positive
Well organized and lots of fun,well organize and lot of fun,4 stars,2023,cebu,"{'neg': 0.004592328, 'neu': 0.06317064, 'pos': 0.932237}",0.004592328,0.06317064,0.932237,positive
A very nice activity to go with family and friends. You can really have a hapy time there. i put 4 star just because i find the price too expensive!,a very nice activity to go with family and friend you can really have happy time there i put 4 star just because find the price too expensive,4 stars,2020,cebu,"{'neg': 0.00761151, 'neu': 0.036417566, 'pos': 0.95597094}",0.00761151,0.036417566,0.95597094,positive
It was great and fun,it be great and fun,5 stars,2023,cebu,"{'neg': 0.0031492407, 'neu': 0.030512288, 'pos': 0.9663384}",0.0031492407,0.030512288,0.9663384,positive
"No size 39. Don't sell tickets if there aren't skating shoes available. Absolutely disappointed, seriously the staff have this IDGAF face when I complained the size 38's hurts.",no size 39 dont sell ticket if there arent skating shoe available absolutely disappointed seriously the staff have this idgaf face when i complain 38s hurt,1 star,2018,cebu,"{'neg': 0.9676136, 'neu': 0.030126747, 'pos': 0.0022596505}",0.9676136,0.030126747,0.0022596505,negative
Great!,great,4 stars,2024,cebu,"{'neg': 0.05817843, 'neu': 0.3082998, 'pos': 0.63352174}",0.05817843,0.3082998,0.63352174,positive
Awesome!,awesome,5 stars,2023,cebu,"{'neg': 0.023494894, 'neu': 0.19677584, 'pos': 0.77972925}",0.023494894,0.19677584,0.77972925,positive
Amazing!,amaze,5 stars,2023,cebu,"{'neg': 0.1086474, 'neu': 0.5777964, 'pos': 0.31355616}",0.1086474,0.5777964,0.31355616,neutral
It's so nice watching Youn ages trying their best to get trough ice skating and challenge their selve for improvement of doing it in a day,its so nice watch youn age try their best to get trough ice skating and challenge self for improvement of do it in a day,5 stars,2020,cebu,"{'neg': 0.0050235717, 'neu': 0.06844964, 'pos': 0.92652684}",0.0050235717,0.06844964,0.92652684,positive
"I never done ice skating  but
Seeing other people smiling,happy, and having fun because  of this, I'm happy to",i never do ice skating but see other people smile happy and have fun because of this im to,5 stars,2020,cebu,"{'neg': 0.0070414813, 'neu': 0.05823835, 'pos': 0.93472016}",0.0070414813,0.05823835,0.93472016,positive
People are soo nice. You can ask the skaters who arent training to help or teach you and they will willingly do so,people be soo nice . you can ask the skater who not train to help or teach and they will willingly do so,5 stars,2020,cebu,"{'neg': 0.0049401964, 'neu': 0.07809567, 'pos': 0.9169641}",0.0049401964,0.07809567,0.9169641,positive
"The skating is a great place for practice, the only thing is their customer service, thatd why i gave 3 stars",the skating be a great place for practice only thing their customer service that 's why i give 3 star,3 stars,2020,cebu,"{'neg': 0.0039879754, 'neu': 0.042212408, 'pos': 0.95379966}",0.0039879754,0.042212408,0.95379966,positive
a cool place that you can enjoyed to watch while everyone is having fun in ice skating rinks..,a cool place that you can enjoy watch while everyone be have fun in ice skate rink,5 stars,2020,cebu,"{'neg': 0.001486437, 'neu': 0.01745286, 'pos': 0.98106074}",0.001486437,0.01745286,0.98106074,positive
We can use the Locker only once.How to eat snak and drink water?I do not understand.,we can use the locker only once . how to eat snack and drink water i do n't understand,2 stars,2020,cebu,"{'neg': 0.72720814, 'neu': 0.25486287, 'pos': 0.01792898}",0.72720814,0.25486287,0.01792898,negative
Happee to see a beautiful face like one of the japanese figure skaters competing for 2023,happy to see a beautiful face like one of the japanese figure skater compete for 2023,5 stars,2023,cebu,"{'neg': 0.00096745504, 'neu': 0.015557117, 'pos': 0.98347545}",0.00096745504,0.015557117,0.98347545,positive
