review_text,review_rating,review_year,branch
Great ice skating. Love it !,5 stars,2023,cebu
A whole lot of fun for the kids but they are quite a bit pricier than a movie and they don't appear to have per hour rates. They haven't maintained their stock of available sizes. Quite a number of sizes were unavailable early in the day and they don't sell skates in the shop.,3 stars,2017,cebu
"Went to play here last 2019 before COVID and went there again recently, its much better now since its not that crowded as it used to be. The staff are there and alert to watch over any injuries. We didn't have that much fun since we didnt know how to skate and didn't ""rent"" a coach. We just went to try it and overall it was fun. A little pricey though but fun.",4 stars,2023,cebu
"Thank you so much to the staff!! I accidentally left my tablet on the comfort room after we went ice skating. They were very kind and helpful to me when I went back to ask if they have it. Thank you so much! You guys were definitely heros especially in terms of my grades since my school documents are in said tab haha. Again, thank you!! Also a massive thank you to the unknown customer who turned over my tab when they found it! You guys are life savers huhu

And the ice skating itself was fun haha thanks. A great place to bond with friends, family, and your date!",5 stars,2023,cebu
An international standard ice skating rink.  Good for everyone.,5 stars,2019,cebu
Great activity for Kids,5 stars,2024,cebu
"The place itself is nice, though I don't think they disinfect the shoes thoroughly after someone has used them as they smell bad. Their largest shoes are only a size 9 or something which were way too small for me (I have size 10.5 feet) so my feet were cramped and got really sore after the session.",3 stars,2020,cebu
Cold. And best for kids who have nothing else to do..,4 stars,2020,cebu
"Good place to have fun with your kids, they will love it. Only daytickets for 420php, no by hour offers, kids are tired after 1hour! Small lockers which you can open only one time for 50php!!, most disturbing was the really loud music, hardly understood my son when he talked to me, ice quality good.",2 stars,2018,cebu
"I love skating. This is the best hobby that I found and I skate for the first time in 2017. The unlimited skating is P420, but pay P500 or P1000 and the locker is only P50, cheaper. But last June, I had an incident, I slided when driving and fighting in polar bears and I am only unlimited, I choose that I wouldn't have a polar bear because it is expensived. In other words, the skating rink has a cleaning time in every skating.",5 stars,2020,cebu
"Great place to have fun with your friends. For those first timers I recommend you guys to use the polar bears (which is 100 per hour).
I only give 4 stars because you're not allowed to bring food. If you're hungry u have to buy your food from their snack stall which is kinda expensive",4 stars,2019,cebu
Good experience!,5 stars,2023,cebu
Good,5 stars,2023,cebu
"Very good place for kids and kids at heart. At P450 for unlimited skating, you can skate all you want. They also offer figure skating and ice hockey lessons.

Good thing it’s right across the Foodcourt in case the kids get hungry or thirsty.

This is our go to place whenever we have to wait for other family members to finish shopping or having their nails done. We sit in the bleachers enjoying the antics of the skaters while doing FB, texting or doing puzzles to pass the time. Then it’s time to go home. :)",5 stars,2019,cebu
My kids favorite. Go for the unlimited time for a price of 450 pesos it's all worth it. Kids will enjoy more and they will have more time to practice skating and make friends with other skaters there.,4 stars,2019,cebu
"At 61 Im a bit old to get on the ice skates but our kids sure had a great time.  It was a fun day watching them learning to ice skate.   The staff was very helpful as they were being sized for skates.

To help they have these Polar Bear stabilizers that the kids push around the rink to help them get their ice legs.   I have never seen those before but it sure helped them stay steady for their first time.

Shout out to the Squid Snack kiosc just across from them.  Squid snacks are amazing,  they the BBQ and Spicey.",5 stars,2020,cebu
SM Skating Ring is located in SM Seaside at 3rd Floor in Cyber Zone area. It's really exciting if you are a beginner to use the skating board. There's a staff to teach you how to skate. Whether you are adult or teen there's no matter since this is just an experience for you to play in the ice rink. Spend your holiday time together with your family to watch or to skate in the ice. However if you are tired or wants to relax & feel hungry there's a lot of fastfoods near the skating rink to serve you if you want to eat. Come on & visit the SM Skating & relax together with your family to experiece the thrill of how to skate he!he!he! . GOD Bless & enjoy.,5 stars,2020,cebu
"Great location, but skates were quite blunt and needed more sharpening. Was told they are sharpened every 6 months but really should be more often, especially since used so much.",3 stars,2020,cebu
"The skating rink is high quality and well maintained. It offers lockers, instructors and even a polar bear shaped skating aid. Will come back often.

Payment ₱380 for unlimited skating",5 stars,2017,cebu
"When you're next in line to pay, the staff let's other groups cut in front of you.",1 star,2023,cebu
Fun skating rink. Good size with assistance when needed. Prices are quite high with only unlimited skating offered most of the time. Could do with an hourly/session rate.,5 stars,2019,cebu
Fun place to learn ice skating in Cebu... in fact the ONLY ice rink in Cebu. They have awesome coaches and good equipment. The only problem is the ice tends to have a lot of bumps (due to water dropping from the ceiling) which caused serious injury to some people,4 stars,2020,cebu
Best Ice skating in Cebu,4 stars,2024,cebu
"Good fun to ice skate in tropics. They sale glove, rent helmet and some sliding bears for beginners. Ice well organized. Really had a great time",5 stars,2020,cebu
Ice skates need replacement. They are smelly and defective and the shoe laces brittle,4 stars,2023,cebu
"My son and daughter had a lovely, enjoyable and fun time there!",4 stars,2019,cebu
Very affordable price. Skates and gears are inclusive. Gloves and socks also available.,5 stars,2023,cebu
Well organized and lots of fun,4 stars,2023,cebu
A very nice activity to go with family and friends. You can really have a hapy time there. i put 4 star just because i find the price too expensive!,4 stars,2020,cebu
It was great and fun,5 stars,2023,cebu
"No size 39. Don't sell tickets if there aren't skating shoes available. Absolutely disappointed, seriously the staff have this IDGAF face when I complained the size 38's hurts.",1 star,2018,cebu
Great!,4 stars,2024,cebu
Awesome!,5 stars,2023,cebu
Amazing!,5 stars,2023,cebu
It's so nice watching Youn ages trying their best to get trough ice skating and challenge their selve for improvement of doing it in a day,5 stars,2020,cebu
"I never done ice skating  but
Seeing other people smiling,happy, and having fun because  of this, I'm happy to",5 stars,2020,cebu
People are soo nice. You can ask the skaters who arent training to help or teach you and they will willingly do so,5 stars,2020,cebu
"The skating is a great place for practice, the only thing is their customer service, thatd why i gave 3 stars",3 stars,2020,cebu
a cool place that you can enjoyed to watch while everyone is having fun in ice skating rinks..,5 stars,2020,cebu
We can use the Locker only once.How to eat snak and drink water?I do not understand.,2 stars,2020,cebu
Happee to see a beautiful face like one of the japanese figure skaters competing for 2023,5 stars,2023,cebu
Skates are not good at all. But as first experience for locals it's very good!,3 stars,2020,cebu
"Twas reallllly fun but buttt for first timers, i got a foot ache. Haahhahaha but over all. It was worth it.",5 stars,2019,cebu
I was expecting to learn how to skate but unfortunately no trainor is available. Not good for first timer if no trainor.,4 stars,2020,cebu
"If you want to experience ice skating, then this place is a good place to go ice skating.",5 stars,2019,cebu
Good to know the skating rink is now open!!!,5 stars,2023,cebu
The rink was wonderful but the people do not give great service,3 stars,2020,cebu
"It's fun in here. Rental shoes are bad tho, it's very stinky and uncomfortable",4 stars,2020,cebu
Way too expensive!!!!,1 star,2021,cebu
nice,5 stars,2024,cebu
Experience skating in sm SEASIDE,5 stars,2020,cebu
I just walked past the place but it pools looked nice,4 stars,2020,cebu
"Nice place, gopd shooping, good food. And good prices!",5 stars,2020,cebu
Stuggle is real when it's your first time lol.,5 stars,2020,cebu
Nice place good for people who would like to skate.,5 stars,2020,cebu
ice skating in Cebu actually exists...take all the safety precations！,5 stars,2020,cebu
Tiring but fun!,5 stars,2020,cebu
i don't skate but it's to see kids skating and show talents,4 stars,2020,cebu
Here you can sing let it go from frozen:),5 stars,2020,cebu
Here you can practice skating with the ice prior to flying Iceland...,5 stars,2020,cebu
"If you wanna skate this is the place, only ice surface in Cebu.",4 stars,2023,cebu
Love the Foods and View Of The Mall From High.,5 stars,2020,cebu
so much fun,5 stars,2020,cebu
It was good fun the children love it too,4 stars,2020,cebu
Love the experience so much fun,5 stars,2019,cebu
Great experience,5 stars,2023,cebu
Wider artificial ice skating feels like real.,4 stars,2019,cebu
Valbasauuurrr,4 stars,2024,cebu
Very accommodating staff's 👍 …,5 stars,2020,cebu
we just have our bonding,4 stars,2020,cebu
Ok and help full staff,4 stars,2020,cebu
Ice skating rink.,5 stars,2019,cebu
Very good,5 stars,2020,cebu
So cold,5 stars,2020,cebu
ice skating ring so fun,5 stars,2020,cebu
Ise skating is life💗💗💗 …,5 stars,2019,cebu
It is super fun,5 stars,2020,cebu
It's great!,5 stars,2020,cebu
super duper fun,5 stars,2020,cebu
Do not skate,3 stars,2020,cebu
nice and fun.,4 stars,2016,cebu
Fun place!,4 stars,2020,cebu
Still closed.,1 star,2022,cebu
Nice place,5 stars,2020,cebu
good to play skating,5 stars,2020,cebu
Huge,4 stars,2020,cebu
No comment for this,5 stars,2020,cebu
Great experience,4 stars,2023,cebu
"Very quiet
I went with a child who was skating for the first time, and he was proud that he was able to skate on his own because there was a device he could hold on to. Of course, he said he was good at riding alone and gave me a seal applause.

Ice quality is not good
Adults say it's a bit chilly in shorts and shorts, and children say it's a bit cold. Long pants required. Socks required. Be careful to enter at the skating time, every 2 hours.",3 stars,2024,cebu
"The all-day ticket was 599 pesos. Perhaps because of the price range, more people purchase the 2-hour ticket, but even though it was the weekend and there were a lot of people, it was still worth the ride. You can only use Polar Bear for 1 hour and the locker costs 50 pesos, but since it is one time, the staff will add 5 pesos if you need to open and close it again.",5 stars,2023,cebu
"The ice surface is good, but the skates are in poor condition. They stink, are uncomfortable and pretty broken.
My feet hurt and I couldn't enjoy skating.",3 stars,2024,cebu
"It is a little smaller than Busan Shinsegae Ice Rink.
The ice doesn't melt and it's cool.
Rental skates smell and the blades are badly worn.
There are a lot of slips between guests.",3 stars,2023,cebu
"A must try experience. More is better. Muscle pain is sure to be the star tomorrow. lol
But it's worth it. There are lockers for rent so don't worry about your valuables. Leave your mobile phones to avoid accidents. Enjoy the moment. Even if there is no picture, it's ok than breaking your phone. Enjoy skating.",5 stars,2019,cebu
"It's fun, but the disadvantage is that the shoes are a bit dirty and smelly.",4 stars,2023,cebu
"If you go at the first time, it is not crowded and you can use it. The quality of the ice is uneven, but it is enough to keep you cool in hot countries.",4 stars,2023,cebu
"A fantastic skating rink, both for children and adults. Really recommend.",3 stars,2020,cebu
"Skates, helmets, knee guards, etc. were wet. There was no toilet cover in the bathroom, which was disappointing. But the staff are friendly",4 stars,2020,cebu
It was nice to be able to leisurely skate on a Sunday morning.,5 stars,2023,cebu
Both children and adults enjoy it. Weheheh,4 stars,2020,cebu
I think it's quite fun!,5 stars,2020,cebu
"Its price is 450 pesos
Very suitable",4 stars,2020,cebu
,4 stars,2020,cebu
300 pesos for 2 hours,5 stars,2023,cebu
,5 stars,2020,cebu
Highly recommended if you are traveling with children,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,3 stars,2020,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,2 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2022,cebu
,5 stars,2020,cebu
,5 stars,2018,cebu
,1 star,2020,cebu
,4 stars,2020,cebu
,4 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2024,cebu
,4 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2020,cebu
,4 stars,2019,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2019,cebu
,3 stars,2020,cebu
,5 stars,2024,cebu
,5 stars,2024,cebu
,3 stars,2020,cebu
,5 stars,2024,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2024,cebu
,5 stars,2020,cebu
,3 stars,2023,cebu
,5 stars,2020,cebu
,3 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2019,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
,5 stars,2024,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2023,cebu
,4 stars,2023,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
,4 stars,2020,cebu
,3 stars,2023,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
,5 stars,2021,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2020,cebu
,5 stars,2023,cebu
,4 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
,4 stars,2023,cebu
,5 stars,2020,cebu
,5 stars,2018,cebu
,5 stars,2020,cebu
,3 stars,2020,cebu
,4 stars,2023,cebu
,4 stars,2020,cebu
,5 stars,2020,cebu
,4 stars,2023,cebu
,4 stars,2020,cebu
,5 stars,2019,cebu
,5 stars,2017,cebu
,4 stars,2023,cebu
,5 stars,2024,cebu
,1 star,2020,cebu
,5 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2023,cebu
,4 stars,2020,cebu
,4 stars,2023,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,3 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2020,cebu
,4 stars,2023,cebu
,3 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2019,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
,1 star,2020,cebu
,1 star,2023,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
,3 stars,2020,cebu
,3 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,3 stars,2019,cebu
,5 stars,2023,cebu
,5 stars,2019,cebu
,4 stars,2020,cebu
,4 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2023,cebu
,5 stars,2023,cebu
,5 stars,2023,cebu
,5 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
,4 stars,2020,cebu
,4 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2020,cebu
,3 stars,2020,cebu
,4 stars,2020,cebu
,1 star,2020,cebu
,4 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2023,cebu
,4 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,2 stars,2020,cebu
,4 stars,2020,cebu
,4 stars,2020,cebu
,4 stars,2024,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2023,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
,4 stars,2020,cebu
,4 stars,2019,cebu
,4 stars,2023,cebu
,4 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2020,cebu
,4 stars,2023,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2023,cebu
,4 stars,2020,cebu
,5 stars,2020,cebu
,3 stars,2020,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
,3 stars,2020,cebu
,4 stars,2023,cebu
,5 stars,2020,cebu
,5 stars,2023,cebu
,3 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,5 stars,2019,cebu
,5 stars,2020,cebu
,3 stars,2020,cebu
,4 stars,2020,cebu
,4 stars,2019,cebu
,5 stars,2019,cebu
,3 stars,2020,cebu
,2 stars,2020,cebu
,5 stars,2017,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
,4 stars,2023,cebu
,5 stars,2023,cebu
,3 stars,2023,cebu
,5 stars,2020,cebu
,5 stars,2023,cebu
,5 stars,2020,cebu
,5 stars,2020,cebu
,4 stars,2020,cebu
"Title: Glide and Chill at SM Megamall Skating Rink

The SM Megamall Skating Rink offers a cool escape from the bustling mall atmosphere, providing a fun and energetic experience for both beginners and seasoned skaters alike.

The rink itself is well-maintained, with smooth ice that facilitates easy gliding. Skating here is a breeze, and the spacious layout ensures that even during peak hours, you won't feel too crowded. The rental skates are in good condition, although bringing your own pair is always an option for those with specific preferences.

The rink's ambiance is vibrant, complemented by upbeat music that adds to the overall enjoyment. It's an ideal spot for friends and families to gather, offering a blend of recreation and exercise. For those looking to improve their skills, the rink occasionally offers lessons, making it accessible for beginners eager to learn the ropes.

One downside might be the occasional long lines during peak hours, but the wait is generally worth it once you hit the ice. The ticket prices are reasonable, making it a cost-effective activity for a day out.

Overall, the SM Megamall Skating Rink provides a delightful experience for skaters of all levels. Whether you're looking for a casual outing or a more serious skate session, this rink offers an enjoyable escape within the heart of the mall. Lace up your skates and glide away for a refreshing and entertaining time.",5 stars,2024,megamall
"Its so happy to skate here because sometimes there's disco here, also people here enjoying their time and can get some friends",5 stars,2023,megamall
This is a pretty big skating rink at first I thought it was small but after getting up close and getting inside and experiencing it it is very large. It’s better to come Monday through Friday where you can have a little more space on the weekends this place is beyond packed I mean jam packed and for the line is out the door around the building on the weekends. However a very nice addition they do have a set of bleachers to sit on or in while you watch your company ice skate I would say there’s about 12 to 15 rows and then there’s two sets Bleachers which is really accommodating so I have to give them a higher star then I was going to just because of that. Also their prices are pretty fair not too bad for Large City and such a large skating rink. Teresa skating rink you will need to go all the way to the very top floor that’s where it is located.,5 stars,2023,megamall
"It was okay.

Skating rink was okay. Skating experience was good as they have attendants inside where when they saw you fell or struggling they are kind enough to help you and also teach you the basics. They have coach where you can rent for 30 mins for 200php (if I heard it right). At that time they no longer have available coach.

We paid for 399php per person good for 2 hours (adults and kids), entry is per batch. Since we are not a pro we rented 2 ""polar bears"" for 125php each. It will be like your walking stick to help you during skating. I highly recommend this for first timers like us. Then 50php each locker.

What I don't like here is it seems like they don't prioritize the health protocol. Literally, once you return the skate shoes, helmet, wrist band locker key, I never saw them disinfecting it. (Upon entering nor upon leaving) And they no longer have alcohol in the dispenser. I asked for it twice so I ended up going back to my locker to get my own alcohol.

I don't like how they organize the queue and how they want you to wear skating shoes first before giving your locker key even when you already paid for it. Imagine, putting your things inside the locker walking from the chair to the locker and TAKE NOTE WEARING SKATING SHOES! They should have considered that not all lockers were positioned eye level, what about those lockers at the bottom!? We asked for it before wearing the boots but they declined to give it as probably the locker was just a one time use.

I will give it a 3 star because the kuya who assisted us during skating was really nice and my inaanak enjoyed.",3 stars,2023,megamall
"Very poor process. Its already 2023 and they are still not digitalized. It takes more than 1hr just to pay and another 1hr at least before you can enter. The line is ao long, there are 3 cashiers but only one is working. If you have kids, one adult is required to go inside and have to pay for no reason even though your kids can do it by themselves as they have experience in ice skating already. We even bought tickets online but you still need to queue as they said official tickets have to be redeemed in the counter. Buying tickets online is useless!!! Very disappointed.",1 star,2023,megamall
"Aug 2022: They are super organized now than before. From the lockers down to the polar bear rental, everything is in order. They limit the entry of people every 2 hours. That's why the ice skating rink is not that crowded. Kudos to the management and staff for making said changes. Good job!!! 👏🏻 👏🏻👏🏻

Mar 2023: They are super organized and they also have Friday Disco On Ice 😊 The only downside is that the skating shoes are in bad condition and it has a terrible smell. Hopefully, they can address this issue ASAP. They also have Taters food stall inside.",4 stars,2023,megamall
"Went to buy ticket at around 2PM however the next scheduled time to go inside the rink would be 5PM. Process was smooth to get the skating shoes for our sizes and locker. When it's time to get inside the rink, I noticed that the rink seems a bit damp/wet. I remember when I was younger that whenever we go to the old skating rink from SM Megamall that the ice is dry and it doesn't have any water forming inside the rink. And I feel that it's easier to skate if the ice looks dry and not wet.",3 stars,2023,megamall
"The staff were really nice, especially the skate rental attendants. The service was exceptional.

The only problem is that none of the skates available for rent (size 9) were sharp. There was zero edge on the blade and clearly have not been sharpened for a long time. Stating on dull blades is a very serious safety issue. If there is no edge on the blade, there is no ability to turn or even balance. This is very dangerous. I would not recommend this business until they have the ability to sharpen the skates.",1 star,2023,megamall
"Rink is decent but the iceskates are often broken and terribly stanky. They dont clean the skates between clients (as far as we could tell) so its quite disgusting.
Staff is very helpful and friendly though.",4 stars,2024,megamall
"It was my first time trying, and I am happy about it. Definitely will go back and try again. It was hard to learn and felt down many times (part of it and enjoyed it).

The shoes are not clean and smelly, I recommend bringing extra socks in advance. And you can buy your ticket online, which is much cheaper on the metrodeal website.",4 stars,2023,megamall
"Happy now body ache later 🤣🤣🤣.
One of the best experience this year, worth it to try.",5 stars,2023,megamall
"Grumpy, unhelpful salespeople.  Didn't have the shoe size I confirmed in advance they had.  Show up an hour later...someone in front of me grabs the last (only?) Pair of size 9s.  Like, really???  On a Tuesday 2pm when school is in session.  What's it like on a weekend, or holiday break?

You are in a megamall, and you have ONE pair of 9s?  Lol... amateur hour here at the ""greatest"" mall on the Philippines.  More like the laziest.

How difficult can it possibly be to have EXTRA on hand just in case...like any other normally functioning business would. Pathetic.",1 star,2024,megamall
"Skates stink so bad and are so dull (hard to glide in) theyre in such bad shape overall. I dont like the timeslot system either because they take so long to process the line. Lockers are also required but so unsystematic and some of the ice marshalls are so rude! Lastly, they post special scheds in advance but dont even follow them!",1 star,2024,megamall
Been there with my siblings. Its friday night kaya madaming tao pero super enjoy. Memorable experience for a first timer hehe,5 stars,2023,megamall
A very fun experience. A good place to hang out with friends and family. Don't forget to bring your sweater because its so cold inside. They also have variety of shoe sizes so everyone has a fit.,5 stars,2019,megamall
